Unnamed: 0,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_8
1,vaskemaskin,1300.0,28. apr. 2022,Hønefoss,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/28/6/256/397/546_752688165.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256397546,finn,0.22054_8
2,Vaskemaskin,1200.0,28. apr. 2022,Sarpsborg,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-0/26/4/249/616/894_1746681816.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=249616894,finn,0.22054_8
3,Toppmatet vaskemaskin AEG,1500.0,27. apr. 2022,Hurdal,https://images.finncdn.no/dynamic/480x360c/2022/4/vertical-0/27/6/256/299/706_1310235322.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256299706,finn,0.22054_8
4,Vaskemaskin 7kg-AAA-1600 Omdr,1000.0,27. apr. 2022,Halden,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/27/9/256/276/159_529963370.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256276159,finn,0.22054_8
5,Bosch Serie 6 Vaskemaskin (Reservert),3500.0,17. mai 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/17/0/258/774/890_1754675233.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258774890,finn,0.22054_8
6,Micro med grill,350.0,16. mai 2022,Heggedal,https://images.finncdn.no/dynamic/480x360c/2021/3/vertical-0/22/6/212/152/036_1179644149.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=212152036,finn,0.22054_8
7,Vaskemaskin,,16. mai 2022,Spydeberg,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/16/0/258/733/410_1807258226.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258733410,finn,0.22054_8
8,Tørkemaskin på 2500kr!!,2500.0,26. apr. 2022,Sarpsborg,https://images.finncdn.no/dynamic/480x640c/2021/10/vertical-0/13/9/235/164/479_1517663921.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=235164479,finn,0.22054_8
9,Vaskemaskinslange,300.0,15. mai 2022,Sofiemyr,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/15/9/258/638/619_1466869332.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258638619,finn,0.22054_8
10,Vaskemaskin og tørketrommel selges med kvittering,5000.0,15. mai 2022,Kjeller,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/16/7/258/604/567_2034515699.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258604567,finn,0.22054_8
11,vaskemaskin,4500.0,Solgt,Røyken,https://images.finncdn.no/dynamic/480x360c/2022/5/vertical-0/15/6/258/588/676_1997506730.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258588676,finn,0.22054_8
12,Tørketrommel Bosch,3500.0,24. apr. 2022,Snarøya,https://images.finncdn.no/dynamic/480x480c/2022/2/vertical-0/22/6/249/267/066_979879364.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=249267066,finn,0.22054_8
13,Brukt,100.0,15. mai 2022,Svelvik,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/15/2/258/564/272_1503186058.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258564272,finn,0.22054_8
14,MIELE W 1615 med Watercontrol System,1900.0,24. apr. 2022,Halden,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-0/21/3/249/132/033_1173593688.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=249132033,finn,0.22054_8
15,Tørkemaskin til salgs,1000.0,24. apr. 2022,Rælingen,https://images.finncdn.no/dynamic/480x480c/2022/4/vertical-0/24/9/255/928/449_734225465.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255928449,finn,0.22054_8
