,name,price_now,price_before,sale,available,stats,image,link,site,category
0,iiglo frysebokskurv 316 liter (hvit),79,,,10,"['Ekstra', 'frysekurv']",komplett.no/img/p/800/1147383.jpg,komplett.no/product/1147383/hvitevarer/frysere/iiglo-frysebokskurv-316-liter-hvit?productList=notSet&position=1,komplett,frysere
1,iiglo frysebokskurv 100/145/200 liter (hvit),49,,,10,"['Ekstra', 'frysekurv']",komplett.no/img/p/800/1147384.jpg,komplett.no/product/1147384/hvitevarer/frysere/iiglo-frysebokskurv-100145200-liter-hvit?productList=notSet&position=2,komplett,frysere
2,LG GFT41SWGSZ Fryseskap (hvit),8309,,,10,"['186M', '324L', 'Frittstående', 'Energiklasse', 'E', 'Total', 'No', 'Frost', 'Express', 'Freeze']",komplett.no/img/p/800/1182772.jpg,komplett.no/product/1182772/hvitevarer/frysere/lg-gft41swgsz-fryseskap-hvit?productList=notSet&position=3,komplett,frysere
3,LG GFT41PZGSZ Fryseskap (staal),8419,,,10,"['186M', '324L', 'Frittstående(Shiny', 'Steel)', '-', 'Energiklasse', 'E', 'Total', 'No', 'Frost']",komplett.no/img/p/800/1182764.jpg,komplett.no/product/1182764/hvitevarer/frysere/lg-gft41pzgsz-fryseskap-staal?productList=notSet&position=4,komplett,frysere
4,Beko RFNE312L35WN Fryseskap (hvit),4999,7999.0,True,0,"['185cm', '275', 'L', 'No-Frost', 'ProSmart™', 'Inverter', 'Compressor']",komplett.no/img/p/800/1202594.jpg,komplett.no/product/1202594/hvitevarer/frysere/beko-rfne312l35wn-fryseskap-hvit?productList=notSet&position=5,komplett,frysere
5,iiglo FS60170W Fryseskap,5599,,,10,"['BDH', '60x60x170', 'nettovolum', '225', 'L', 'hvit']",komplett.no/img/p/800/985470.jpg,komplett.no/product/985470/hvitevarer/frysere/iiglo-fs60170w-fryseskap?productList=notSet&position=6,komplett,frysere
6,iiglo BD-100 fryseboks (hvit),1999,,,10,"['BH', '55x85', 'cm', 'nettovolum', '100', 'l', 'lydnivå', '42', 'dB', 'hvit']",komplett.no/img/p/800/843314.jpg,komplett.no/product/843314/hvitevarer/frysere/iiglo-bd-100-fryseboks-hvit?productList=notSet&position=7,komplett,frysere
7,Scandomestic SFS 380W Fryseskap (hvit),9490,,,1,"['Frys', '380', 'l', 'display', 'nofrost', '70', 'cm']",komplett.no/img/p/800/1155817.jpg,komplett.no/product/1155817/hvitevarer/frysere/scandomestic-sfs-380w-fryseskap-hvit?productList=notSet&position=8,komplett,frysere
8,LG GFT61MCCSZ Fryseskap (sort),11990,,,10,"['324L', 'FrittståendeEnergiklasse', 'E', 'Total', 'No', 'Frost', 'Express', 'Freeze']",komplett.no/img/p/800/1182768.jpg,komplett.no/product/1182768/hvitevarer/frysere/lg-gft61mccsz-fryseskap-sort?productList=notSet&position=9,komplett,frysere
9,Scandomestic SFS 380 BS Fryseskap (sort),9999,,,9,"['Frys', '380', 'l', 'display', 'nofrost', '70', 'cm']",komplett.no/img/p/800/1155820.jpg,komplett.no/product/1155820/hvitevarer/frysere/scandomestic-sfs-380-bs-fryseskap-sort?productList=notSet&position=10,komplett,frysere
