,name,price_now,price_before,sale,available,stats,image,link,site,category
0,HyperX Cloud Alpha S Gaming Headset (sort/blaa),1199,,,2,"['3.5mm', 'minijack', 'avtagbar', 'mic', 'støydempet', '7.1', 'surround', 'fjernkontroll', 'PC', 'konsol']",komplett.no/img/p/800/1202074.jpg,komplett.no/product/1202074/gaming/gaming-utstyr/gaming-headset/hyperx-cloud-alpha-s-gaming-headset-sortblaa?productList=notSet&position=1,komplett,gaming_headset
1,HyperX Cloud Orbit S Gaming Headset (sort),3012,,,6,"['USB', 'a-c', '3D', 'emulering', 'head', 'tracking', 'lyd', 'lokalisering', 'romemulering', '7.1', 'lyd']",komplett.no/img/p/800/1202080.jpg,komplett.no/product/1202080/gaming/gaming-utstyr/gaming-headset/hyperx-cloud-orbit-s-gaming-headset-sort?productList=notSet&position=2,komplett,gaming_headset
2,Logitech G435 LIGHTSPEED Traadlost Gaming Headset (sort),799,,,50,"['PC', 'PS4', 'PS5', 'Mobil']",komplett.no/img/p/800/1191575.jpg,komplett.no/product/1191575/gaming/gaming-utstyr/gaming-headset/logitech-g435-lightspeed-traadloest-gaming-headset-sort?productList=notSet&position=3,komplett,gaming_headset
3,Xbox Stereo Headset (sort),499,,,38,"['3.5mm', 'Minijack', 'On-ear', 'kontroller', 'Xbox', 'Series', 'X|S', 'Xbox', 'One', 'PC']",komplett.no/img/p/800/1192505.jpg,komplett.no/product/1192505/gaming/gaming-utstyr/gaming-headset/xbox-stereo-headset-sort?productList=notSet&position=4,komplett,gaming_headset
4,Corsair Gaming HS50 PRO Headset (blaa),599,,,2,"['3.5mm', 'minijack', 'avtakbar', 'mic', 'støydempet', 'headsetkontroller', 'multi-', 'platform']",komplett.no/img/p/800/1141394.jpg,komplett.no/product/1141394/gaming/gaming-utstyr/gaming-headset/corsair-gaming-hs50-pro-headset-blaa?productList=notSet&position=5,komplett,gaming_headset
5,Logitech G733 LIGHTSPEED Gaming Headset (lilac),1599,,,3,"['Trådløs', 'LIGHTSYNC', 'RGB', 'Blue', 'VO!CE', 'mikrofonteknologi', 'og', 'PRO-G', 'lyddrivere']",komplett.no/img/p/800/1161372.jpg,komplett.no/product/1161372/gaming/gaming-utstyr/gaming-headset/logitech-g733-lightspeed-gaming-headset-lilac?productList=notSet&position=6,komplett,gaming_headset
6,Logitech G335 Wired Gaming Headset (sort),699,,,50,"['35mm', 'Minijack', 'Memory', 'FoamPC', 'PlayStation', 'Xbox', 'Switch']",komplett.no/img/p/800/1189888.jpg,komplett.no/product/1189888/gaming/gaming-utstyr/gaming-headset/logitech-g335-wired-gaming-headset-sort?productList=notSet&position=7,komplett,gaming_headset
7,Logitech G435 LIGHTSPEED Traadlost Gaming Headset (blaa/lilla),799,,,29,"['PC', 'PS4', 'PS5', 'Mobil']",komplett.no/img/p/800/1191574.jpg,komplett.no/product/1191574/gaming/gaming-utstyr/gaming-headset/logitech-g435-lightspeed-traadloest-gaming-headset-blaalilla?productList=notSet&position=8,komplett,gaming_headset
8,Corsair Gaming Void Elite Headset Carbon (sort),699,,,0,"['USB', 'flip-up', 'mik', 'støydempet', 'RGB', '7.1', 'surround', 'gaming', 'headset']",komplett.no/img/p/800/1141397.jpg,komplett.no/product/1141397/gaming/gaming-utstyr/gaming-headset/corsair-gaming-void-elite-headset-carbon-sort?productList=notSet&position=9,komplett,gaming_headset
9,ASTRO A40 TR Headset + MA Pro TR PS4 Gen.4 (sort/blaa),3049,,,0,"['Inneholder:', 'ASTRO', 'A40', 'TR', 'Gaming', 'headset', 'og', 'MixAmp', 'Pro', 'TR', 'PS4', 'Gen.4']",komplett.no/img/p/800/1154016.jpg,komplett.no/product/1154016/gaming/gaming-utstyr/gaming-headset/astro-a40-tr-headset-ma-pro-tr-ps4-gen4-sortblaa?productList=notSet&position=10,komplett,gaming_headset
10,Logitech G PRO X Gaming Headset League of Legends Edition,1399,,,50,"['35', 'mm', 'minjack', 'usb', 'aftagelig', 'mikrofon', 'støjdæmpet', 'fjernbetjening', 'dt', '7.1', 'lyd']",komplett.no/img/p/800/1192670.jpg,komplett.no/product/1192670/gaming/gaming-utstyr/gaming-headset/logitech-g-pro-x-gaming-headset-league-of-legends-edition?productList=notSet&position=11,komplett,gaming_headset
11,Logitech G332 Gaming Headset (sort/rod),599,,,50,"['35mm', 'minjack', 'flip-up', 'mute', 'mic', 'headsetkontroller', 'PC', 'konsoll']",komplett.no/img/p/800/1119991.jpg,komplett.no/product/1119991/gaming/gaming-utstyr/gaming-headset/logitech-g332-gaming-headset-sortroed?productList=notSet&position=12,komplett,gaming_headset
12,Razer Kraken Ultimate Gaming Headset (sort),1249,,,50,"['USB', 'Noise-canceling', 'mikrofon', 'THX', '7.1', 'Surround', 'RGB', 'gamingheadset']",komplett.no/img/p/800/1157314.jpg,komplett.no/product/1157314/gaming/gaming-utstyr/gaming-headset/razer-kraken-ultimate-gaming-headset-sort?productList=notSet&position=13,komplett,gaming_headset
13,Corsair HS60 Haptic Gaming Headset (camo),1349,,,3,"['USB', 'noise', 'cancelling', 'mikrofon', 'Haptic', 'Bass']",komplett.no/img/p/800/1171341.jpg,komplett.no/product/1171341/gaming/gaming-utstyr/gaming-headset/corsair-hs60-haptic-gaming-headset-camo?productList=notSet&position=14,komplett,gaming_headset
