,name,price_now,price_before,sale,available,stats,image,link,site,category
0,MSI Clutch GM11 Gaming Mus (sort),379,,,17,"['USB', '400-5000DPI', 'kablet', 'RGB']",komplett.no/img/p/800/1184280.jpg,komplett.no/product/1184280/gaming/gaming-utstyr/gaming-mus/msi-clutch-gm11-gaming-mus-sort?productList=notSet&position=1,komplett,gaming_mus
1,Logitech G203 LIGHTSYNC Gaming Mus (lilac),449,,,0,"['USB', '8000', 'DPI', '6', 'programmerbare', 'knapper', 'RGB-belysning']",komplett.no/img/p/800/1161378.jpg,komplett.no/product/1161378/gaming/gaming-utstyr/gaming-mus/logitech-g203-lightsync-gaming-mus-lilac?productList=notSet&position=2,komplett,gaming_mus
2,SteelSeries Prime Gaming Mus (sort),799,,,31,"['USB-C', '18000', 'CPI', '5', 'knapper', '1-sone', 'RGB', 'vekt', '69g']",komplett.no/img/p/800/1183897.jpg,komplett.no/product/1183897/gaming/gaming-utstyr/gaming-mus/steelseries-prime-gaming-mus-sort?productList=notSet&position=3,komplett,gaming_mus
3,Svive Alpha K22A Ultralight E-sport Gaming Mus (sort),549,,,50,"['USB', '12000', 'DPI', '6', 'programmerbare', 'knapper', '3360', 'sensor', 'medium', '67g']",komplett.no/img/p/800/1146717.jpg,komplett.no/product/1146717/gaming/gaming-utstyr/gaming-mus/svive-alpha-k22a-ultralight-e-sport-gaming-mus-sort?productList=notSet&position=4,komplett,gaming_mus
4,Trust GXT 107 Izza RGB Traadlos Gaming Mus,289,,,10,"['USB', '2000', 'DPI', 'trådløs10', 'm', 'rekkevidde', 'RGB']",komplett.no/img/p/800/1185626.jpg,komplett.no/product/1185626/gaming/gaming-utstyr/gaming-mus/trust-gxt-107-izza-rgb-traadloes-gaming-mus?productList=notSet&position=5,komplett,gaming_mus
5,Trust GXT 160X Ture Gaming Mus (sort),349,,,9,"['USB', '200-4500', 'DPI', 'RGB', 'kablet', '25', 'rgb', 'modes', '7', 'programmerbare', 'knapper']",komplett.no/img/p/800/1185568.jpg,komplett.no/product/1185568/gaming/gaming-utstyr/gaming-mus/trust-gxt-160x-ture-gaming-mus-sort?productList=notSet&position=6,komplett,gaming_mus
6,ROCCAT Kone Pro Air (hvit),1099,,,50,"['USB-C', 'Bluetooth', '19000', 'DPI', 'WiFi', '75g', 'Roccat', 'Owl-Eye', 'sensor', 'RGB']",komplett.no/img/p/800/1187657.jpg,komplett.no/product/1187657/gaming/gaming-utstyr/gaming-mus/roccat-kone-pro-air-hvit?productList=notSet&position=7,komplett,gaming_mus
7,Glorious PC Gaming Race Model D Wireless Gaming Mus (hvit),999,,,0,"['USB-C', '19000', 'DPI', '69g', 'RGB', '71t', 'batteri', 'BAMF', 'sensor']",komplett.no/img/p/800/1193741.jpg,komplett.no/product/1193741/gaming/gaming-utstyr/gaming-mus/glorious-pc-gaming-race-model-d-wireless-gaming-mus-hvit?productList=notSet&position=8,komplett,gaming_mus
8,Razer Basilisk V3 (sort),799,,,0,"['USB', '26000', 'DPI', '11', 'programmerbare', 'knapper', 'Razer', 'Hyperscroll', 'Razer', 'Chroma', 'RGB']",komplett.no/img/p/800/1196874.jpg,komplett.no/product/1196874/gaming/gaming-utstyr/gaming-mus/razer-basilisk-v3-sort?productList=notSet&position=9,komplett,gaming_mus
9,Xtrfy M4 RGB Gaming Mus Tokyo Limited Edition,559,,,0,"['USB', '16000', 'CPI', 'RGB', '69g']",komplett.no/img/p/800/1198302.jpg,komplett.no/product/1198302/gaming/gaming-utstyr/gaming-mus/xtrfy-m4-rgb-gaming-mus-tokyo-limited-edition?productList=notSet&position=10,komplett,gaming_mus
