,name,price_now,price_before,sale,available,stats,image,link,site,category
0,SteelSeries Qck Edge Gaming Musematte,179,,,50,"['Medium', 'glatt', 'og', 'jevn', 'glideflate', 'optisk', 'og', 'laser', 'mus', 'myk', 'gaming', 'musematte']",komplett.no/img/p/800/1103142.jpg,komplett.no/product/1103142/gaming/gaming-utstyr/gaming-musematte/steelseries-qck-edge-gaming-musematte?productList=notSet&position=1,komplett,gaming_musematte
1,Svive Styx Gaming Musematte ESGR Large,199,,,50,"['Large', 'sort', 'med', 'hvite', 'sømmer', 'maksimal', 'kontroll', 'og', 'speed', 'vannavstøtende', 'ESGR']",komplett.no/img/p/800/1132614.jpg,komplett.no/product/1132614/gaming/gaming-utstyr/gaming-musematte/svive-styx-gaming-musematte-esgr-large?productList=notSet&position=2,komplett,gaming_musematte
2,Corsair MM300 PRO Medium Gaming Husematte,219,,,0,"['Medium', 'Premium', 'vannavstøtende', 'spillmusematte', 'i', 'tøy']",komplett.no/img/p/800/1171335.jpg,komplett.no/product/1171335/gaming/gaming-utstyr/gaming-musematte/corsair-mm300-pro-medium-gaming-husematte?productList=notSet&position=3,komplett,gaming_musematte
3,Xtrfy GP4 Large Gaming Musematte Abstract Retro,349,,,0,"['Large', '460x400mm']",komplett.no/img/p/800/1198311.jpg,komplett.no/product/1198311/gaming/gaming-utstyr/gaming-musematte/xtrfy-gp4-large-gaming-musematte-abstract-retro?productList=notSet&position=4,komplett,gaming_musematte
4,Razer Goliathus Quartz Chroma gamingmusematte,599,,,0,"['extended', 'glatt', 'og', 'sømløs', 'overflate', 'chroma', 'belysning', 'myk', 'gaming', 'musematte', 'RGB']",komplett.no/img/p/800/1178735.jpg,komplett.no/product/1178735/gaming/gaming-utstyr/gaming-musematte/razer-goliathus-quartz-chroma-gamingmusematte?productList=notSet&position=5,komplett,gaming_musematte
5,X-GAMER XG++ XXL Musematte,309,,,0,"['110x45cm', 'optimal', 'for', 'alle', 'sensorer']",komplett.no/img/p/800/1200537.jpg,komplett.no/product/1200537/gaming/gaming-utstyr/gaming-musematte/x-gamer-xg-xxl-musematte?productList=notSet&position=6,komplett,gaming_musematte
6,Corsair MM350 PRO Extended XL Gaming Musematte,299,,,0,"['XL', 'Extended', 'Premium', 'vannavstøtende', 'spillmusematte', 'i', 'tøy']",komplett.no/img/p/800/1171338.jpg,komplett.no/product/1171338/gaming/gaming-utstyr/gaming-musematte/corsair-mm350-pro-extended-xl-gaming-musematte?productList=notSet&position=7,komplett,gaming_musematte
7,Svive Styx Gaming Musematte Large,199,,,50,"['Large', 'sort', 'med', 'grå', 'sømmer', 'maksimal', 'kontroll', 'og', 'speed', 'vannavstøtende']",komplett.no/img/p/800/1132612.jpg,komplett.no/product/1132612/gaming/gaming-utstyr/gaming-musematte/svive-styx-gaming-musematte-large?productList=notSet&position=8,komplett,gaming_musematte
8,Komplett Gaming Musematte XXL,129,299.0,True,50,"['XXL', 'lav', 'friksjon', 'optisk', 'laser', 'hastighet', 'kontroll', 'myk', 'gaming', 'musematte']",komplett.no/img/p/800/927082.jpg,komplett.no/product/927082/gaming/gaming-utstyr/gaming-musematte/komplett-gaming-musematte-xxl?productList=notSet&position=9,komplett,gaming_musematte
9,SteelSeries Qck Edge Gaming Musematte,279,,,50,"['Large', 'glatt', 'og', 'jevn', 'glideflate', 'optisk', 'og', 'laser', 'mus', 'myk', 'gaming', 'musematte']",komplett.no/img/p/800/1103144.jpg,komplett.no/product/1103144/gaming/gaming-utstyr/gaming-musematte/steelseries-qck-edge-gaming-musematte?productList=notSet&position=10,komplett,gaming_musematte
