,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Svive Triton Mini 70 brown switch (hvit),799,,,40,"['70%', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'USB', 'A-C', 'PBT', 'keycaps', 'hotswap']",komplett.no/img/p/800/1156874.jpg,komplett.no/product/1156874/gaming/gaming-utstyr/gaming-tastatur/svive-triton-mini-70-brown-switch-hvit?productList=notSet&position=1,komplett,gaming_tastatur
1,Svive Triton Mini 70 blue switch (hvit),799,,,50,"['70%', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'USB', 'A-C', 'PBT', 'keycaps', 'hotswap']",komplett.no/img/p/800/1156871.jpg,komplett.no/product/1156871/gaming/gaming-utstyr/gaming-tastatur/svive-triton-mini-70-blue-switch-hvit?productList=notSet&position=2,komplett,gaming_tastatur
2,Svive Triton TKL speed switch (hvit),899,,,50,"['TKL', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'PBT', 'keycaps', 'hotswap']",komplett.no/img/p/800/1156860.jpg,komplett.no/product/1156860/gaming/gaming-utstyr/gaming-tastatur/svive-triton-tkl-speed-switch-hvit?productList=notSet&position=3,komplett,gaming_tastatur
3,Svive Triton Mini 70 blue switch (sort),799,,,0,"['70%', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'USB', 'A-C', 'PBT', 'keycaps']",komplett.no/img/p/800/1156868.jpg,komplett.no/product/1156868/gaming/gaming-utstyr/gaming-tastatur/svive-triton-mini-70-blue-switch-sort?productList=notSet&position=4,komplett,gaming_tastatur
4,Corsair Gaming K95 Platinum XT Tastatur (sort),2099,,,5,"['USB', 'pass-through', 'nordisk', 'Cherry', 'MX', 'Speed', 'RGB']",komplett.no/img/p/800/1161910.jpg,komplett.no/product/1161910/gaming/gaming-utstyr/gaming-tastatur/corsair-gaming-k95-platinum-xt-tastatur-sort?productList=notSet&position=5,komplett,gaming_tastatur
5,Svive Triton Full brown switch (sort),999,,,50,"['Full', 'størrelse', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'PBT', 'keycaps']",komplett.no/img/p/800/1156877.jpg,komplett.no/product/1156877/gaming/gaming-utstyr/gaming-tastatur/svive-triton-full-brown-switch-sort?productList=notSet&position=6,komplett,gaming_tastatur
6,Svive Triton Mini 70 red switch (hvit),799,,,50,"['70%', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'USB', 'A-C', 'PBT', 'keycaps', 'hotswap']",komplett.no/img/p/800/1156866.jpg,komplett.no/product/1156866/gaming/gaming-utstyr/gaming-tastatur/svive-triton-mini-70-red-switch-hvit?productList=notSet&position=7,komplett,gaming_tastatur
7,Svive Triton Full brown switch (hvit),999,,,50,"['Full', 'størrelse', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'PBT', 'keycaps']",komplett.no/img/p/800/1156870.jpg,komplett.no/product/1156870/gaming/gaming-utstyr/gaming-tastatur/svive-triton-full-brown-switch-hvit?productList=notSet&position=8,komplett,gaming_tastatur
8,Svive Triton TKL blue switch (sort),899,,,50,"['TKL', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'PBT', 'keycaps', 'hotswap']",komplett.no/img/p/800/1156852.jpg,komplett.no/product/1156852/gaming/gaming-utstyr/gaming-tastatur/svive-triton-tkl-blue-switch-sort?productList=notSet&position=9,komplett,gaming_tastatur
9,Svive Triton Mini 60 brown switch (hvit),799,,,50,"['60%', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'USB', 'A-C', 'PBT', 'keycaps']",komplett.no/img/p/800/1156869.jpg,komplett.no/product/1156869/gaming/gaming-utstyr/gaming-tastatur/svive-triton-mini-60-brown-switch-hvit?productList=notSet&position=10,komplett,gaming_tastatur
10,Svive Triton Full blue switch (sort),999,,,48,"['Full', 'størrelse', 'gamingtastatur', 'mekanisk', 'nordisk-layout', 'RGB', 'PBT', 'keycaps']",komplett.no/img/p/800/1156864.jpg,komplett.no/product/1156864/gaming/gaming-utstyr/gaming-tastatur/svive-triton-full-blue-switch-sort?productList=notSet&position=11,komplett,gaming_tastatur
