,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Corsair MP600 PRO XT M.2 NVMe SSD 1TB,1699,2299.0,True,3,"['M.2', 'PCIe', 'Gen', '4.0', 'x4', '7100MB/s', '/', '5800MB/s', 'NVMe', 'PC&PS5']",komplett.no/img/p/800/1203171.jpg,komplett.no/product/1203171/datautstyr/lagring/harddiskerssd/ssd-m2/corsair-mp600-pro-xt-m2-nvme-ssd-1tb?productList=notSet&position=1,komplett,harddiskerssd
3,WD BLACK SN750 M.2 NVMe SSD 2TB,2149,2749.0,True,50,"['M.2', '3400MB/s', '/', '2900MB/s', 'Read', '/', 'Write']",komplett.no/img/p/800/1204683.jpg,komplett.no/product/1204683/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn750-m2-nvme-ssd-2tb?productList=notSet&position=4,komplett,harddiskerssd
4,Kingston KC3000 M.2 2280 NVMe SSD 1TB,1390,1949.0,True,50,"['M.2', '1TB', 'PCIe', '4.0', '7000/6000MB/s', 'Read/Write']",komplett.no/img/p/800/1201337.jpg,komplett.no/product/1201337/datautstyr/lagring/harddiskerssd/ssd-m2/kingston-kc3000-m2-2280-nvme-ssd-1tb?productList=notSet&position=5,komplett,harddiskerssd
8,WD Black SN850 M.2 NVMe SSD Heatsink 1TB,1590,2490.0,True,50,"['1', 'TB', 'intern', 'M.2', '2280', 'PCI', 'Express', '4.0', 'x4', '(NVMe)', 'kompatibel', 'med', 'PS5']",komplett.no/img/p/800/1191927.jpg,komplett.no/product/1191927/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-m2-nvme-ssd-heatsink-1tb?productList=notSet&position=9,komplett,harddiskerssd
18,LaCie Rugged SSD PRO 1TB Thunderbolt 3,3999,4999.0,True,0,"['Thunderbolt', '3', 'IP67', 'Drop', 'motstand', '3m', 'Windows', 'Mac']",komplett.no/img/p/800/1140903.jpg,komplett.no/product/1140903/datautstyr/lagring/harddiskerssd/ssd-ekstern/lacie-rugged-ssd-pro-1tb-thunderbolt-3?productList=notSet&position=19,komplett,harddiskerssd
19,WD Black SN850 M.2 NVMe SSD  2TB,2990,4290.0,True,50,"['M.2', '2280', 'PCIe', '4.0', 'x4', 'NVMe', '7000/5100MB/s', 'read/write.', 'PC', '&', 'PS5']",komplett.no/img/p/800/1173105.jpg,komplett.no/product/1173105/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-m2-nvme-ssd-2tb?productList=notSet&position=20,komplett,harddiskerssd
25,Kingston FURY Renegade PCIe M.2 NVME SSD 1TB,1490,2290.0,True,0,"['M.2', 'SSD', 'PCIe', '4.0', '1TB', '7300/6000', 'MB/s', 'PS5', 'ready']",komplett.no/img/p/800/1201392.jpg,komplett.no/product/1201392/datautstyr/lagring/harddiskerssd/ssd-m2/kingston-fury-renegade-pcie-m2-nvme-ssd-1tb?productList=notSet&position=26,komplett,harddiskerssd
31,WD Black SN850 M.2 NVMe SSD 1TB,1499,1999.0,True,50,"['M.2', '2280', 'PCIe', '4.0', 'x4', 'NVMe', '7000/5300MB/s', 'read/write', 'kompatibel', 'med', 'PS5']",komplett.no/img/p/800/1173102.jpg,komplett.no/product/1173102/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-m2-nvme-ssd-1tb?productList=notSet&position=32,komplett,harddiskerssd
34,Corsair MP600 PRO M.2 NVMe SSD 2TB,3290,3990.0,True,32,"['M.2', '2280', 'PCIe', '4.0', 'NVMe', '3D', 'QLC', 'NAND', '7000/6550MB', '1400TBW']",komplett.no/img/p/800/1178878.jpg,komplett.no/product/1178878/datautstyr/lagring/harddiskerssd/ssd-m2/corsair-mp600-pro-m2-nvme-ssd-2tb?productList=notSet&position=35,komplett,harddiskerssd
35,Seagate FireCuda 530 M.2 NVMe SSD 1TB,2199,2508.0,True,37,"['7300/6000MB/s', '800.000', 'IOPS', '1275TBW', 'PS5', 'kompatibel']",komplett.no/img/p/800/1192536.jpg,komplett.no/product/1192536/datautstyr/lagring/harddiskerssd/ssd-m2/seagate-firecuda-530-m2-nvme-ssd-1tb?productList=notSet&position=36,komplett,harddiskerssd
36,WD BLACK SN770 NVMe SSD 1TB,1499,1749.0,True,50,"['1TB', 'intern', 'M.2', '2280', '5150/4900Mb/s', 'PCIe', '4.0', '(NVMe)']",komplett.no/img/p/800/1207151.jpg,komplett.no/product/1207151/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn770-nvme-ssd-1tb?productList=notSet&position=37,komplett,harddiskerssd
37,"Seagate FireCuda 530 Heatsink M.2 NVMe SSD, 500GB",1449,1861.0,True,7,"['7000/3000MB/s', '400.000', 'IOPS', '640TBW', 'kompatibel', 'med', 'ps5']",komplett.no/img/p/800/1192535.jpg,komplett.no/product/1192535/datautstyr/lagring/harddiskerssd/ssd-m2/seagate-firecuda-530-heatsink-m2-nvme-ssd-500gb?productList=notSet&position=38,komplett,harddiskerssd
38,WD Blue SN570 NVMe SSD 1TB,949,1290.0,True,50,"['M.2', '2280', 'PCIe', 'Gen3', 'x4', 'NVMe', 'v1.4', '3500MB/s/', '3000MB/s', 'Read/Write']",komplett.no/img/p/800/1204369.jpg,komplett.no/product/1204369/datautstyr/lagring/harddiskerssd/ssd-m2/wd-blue-sn570-nvme-ssd-1tb?productList=notSet&position=39,komplett,harddiskerssd
39,Kingston KC3000 M.2 2280 NVMe SSD 512GB,899,1299.0,True,50,"['M.2', '512GB', 'PCIe', '4.0', '7000/3900MB/s', 'Read/Write']",komplett.no/img/p/800/1201339.jpg,komplett.no/product/1201339/datautstyr/lagring/harddiskerssd/ssd-m2/kingston-kc3000-m2-2280-nvme-ssd-512gb?productList=notSet&position=40,komplett,harddiskerssd
40,Kingston FURY Renegade PCIe M.2 NVME SSD 500GB,899,1290.0,True,50,"['M.2', 'PCIe', '4.0', '500GB', '7300/3900', 'MB/s']",komplett.no/img/p/800/1201393.jpg,komplett.no/product/1201393/datautstyr/lagring/harddiskerssd/ssd-m2/kingston-fury-renegade-pcie-m2-nvme-ssd-500gb?productList=notSet&position=41,komplett,harddiskerssd
65,WD Black SN850  m/heatsink M.2 NVMe SSD 2TB,4849,5695.0,True,9,"['2', 'TB', 'intern', 'M.2', '2280', 'PCI', 'Express', '4.0', 'x4', '(NVMe)', 'PC', '&', 'PS5']",komplett.no/img/p/800/1191922.jpg,komplett.no/product/1191922/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-mheatsink-m2-nvme-ssd-2tb?productList=notSet&position=66,komplett,harddiskerssd
66,WD Black SN850 500GB NVMe SSD,1249,1499.0,True,12,"['500', 'GB', 'intern', 'M.2', '2280', 'PCI', 'Express', '4.0', 'x4', '(NVMe)']",komplett.no/img/p/800/1191925.jpg,komplett.no/product/1191925/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-500gb-nvme-ssd?productList=notSet&position=67,komplett,harddiskerssd
70,ICY BOX Protective case for Raspberry Pi 4,229,299.0,True,15,[],komplett.no/img/p/800/1162232.jpg,komplett.no/product/1162232/datautstyr/lagring/harddiskerssd/eksterne-kabinetter/icy-box-protective-case-for-raspberry-pi-4?productList=notSet&position=71,komplett,harddiskerssd
71,"ICY BOX, Ext. USB 3.0 Type-C® Enclosure for 2.5"" with keypad encryption",399,499.0,True,24,[],komplett.no/img/p/800/1193258.jpg,komplett.no/product/1193258/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-ext-usb-30-type-c-enclosure-for-25-with-keypad-encryption?productList=notSet&position=72,komplett,harddiskerssd
86,ICY BOX IB-287-C31 External HDD-Case,239,299.0,True,50,"['USB', '3.1', '(Gen', '2)', 'Type-C™', 'enclosure', 'for', '2.5""', 'SATA']",komplett.no/img/p/800/1076131.jpg,komplett.no/product/1076131/datautstyr/lagring/harddiskerssd/eksterne-kabinetter/icy-box-ib-287-c31-external-hdd-case?productList=notSet&position=87,komplett,harddiskerssd
100,ICY BOX USB 3.1 Harddisk kabinett 1x HDD/SSD,329,399.0,True,50,"['Multimedia-', 'og', 'spillbibliotek', 'på', 'farten', '-', 'kabinett', 'for', '25""', 'SSD']",komplett.no/img/p/800/1193261.jpg,komplett.no/product/1193261/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-usb-31-harddisk-kabinett-1x-hddssd?productList=notSet&position=101,komplett,harddiskerssd
