,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Raspberry Pi 3 Stromadapter Micro USB,239.0,,,50,"['for', 'Raspberry', 'Pi', '3', '5.1V', '/', '2.5A', '1.5m']",komplett.no/img/p/800/888432.jpg,komplett.no/product/888432/datautstyr/pc-komponenter/hovedkort/tilbehoer/raspberry-pi-3-stroemadapter-micro-usb?productList=notSet&position=1,komplett,hovedkort
1,MSI B450-A PRO MAX Hovedkort,1099.0,,,17,"['AM4', 'ATX', 'DDR4', '2x', 'PCIe-x16', 'M.2', 'CFX']",komplett.no/img/p/800/1136722.jpg,komplett.no/product/1136722/datautstyr/pc-komponenter/hovedkort/amd-socket/msi-b450-a-pro-max-hovedkort?productList=notSet&position=2,komplett,hovedkort
2,ASUS PRIME B450-PLUS Hovedkort,1099.0,,,15,"['AM4', 'ATX', 'DDR42x', 'PCIe-x16', '1x', 'M.2', 'USB', '3.1']",komplett.no/img/p/800/1080420.jpg,komplett.no/product/1080420/datautstyr/pc-komponenter/hovedkort/amd-socket/asus-prime-b450-plus-hovedkort?productList=notSet&position=3,komplett,hovedkort
3,ASUS ROG MAXIMUS Z690 FORMULA Hovedkort,8399.0,,,7,"['LGA', '1700', 'ATX', 'DDR5', '2', 'x', 'PCIe', '5.0', 'x16', '5x', 'm.2', '7xUSB', '3.2', 'WIFI', '6E', 'Bluetooth']",komplett.no/img/p/800/1198174.jpg,komplett.no/product/1198174/datautstyr/pc-komponenter/hovedkort/intel-socket/asus-rog-maximus-z690-formula-hovedkort?productList=notSet&position=4,komplett,hovedkort
4,ASUS PRIME H510M-E Hovedkort,999.0,,,41,"['LGA', '1200', 'mATX', 'DDR4', 'PCIe', '4.0', 'M.2']",komplett.no/img/p/800/1179788.jpg,komplett.no/product/1179788/datautstyr/pc-komponenter/hovedkort/intel-socket/asus-prime-h510m-e-hovedkort?productList=notSet&position=5,komplett,hovedkort
5,Gigabyte Z590 VISION G Hovedkort,2799.0,,,9,"['LGA', '1200', 'ATX', 'DDR4', 'PCIe', '4.0', '4x', 'M.2']",komplett.no/img/p/800/1181289.jpg,komplett.no/product/1181289/datautstyr/pc-komponenter/hovedkort/intel-socket/gigabyte-z590-vision-g-hovedkort?productList=notSet&position=6,komplett,hovedkort
6,ASUS PRIME B660-PLUS D4 Hovedkort,1649.0,,,9,"['LGA', '1700', 'ATX', 'DDR4', 'PCIe', '4.0', '3x', 'M.2']",komplett.no/img/p/800/1204044.jpg,komplett.no/product/1204044/datautstyr/pc-komponenter/hovedkort/intel-socket/asus-prime-b660-plus-d4-hovedkort?productList=notSet&position=7,komplett,hovedkort
7,ASUS TUF B450M-PRO S GAMING Hovedkort,999.0,1199.0,True,18,"['AM4', 'mATX', 'DDR4', '2x', 'M.2']",komplett.no/img/p/800/1164551.jpg,komplett.no/product/1164551/datautstyr/pc-komponenter/hovedkort/amd-socket/asus-tuf-b450m-pro-s-gaming-hovedkort?productList=notSet&position=8,komplett,hovedkort
8,Gigabyte B550 AORUS ELITE AX V2 Hovedkort,1999.0,,,50,"['AM4', 'ATX', 'DDR4', 'Dual', 'M.2', 'PCIe', '4.0', 'WiFi', '6']",komplett.no/img/p/800/1175714.jpg,komplett.no/product/1175714/datautstyr/pc-komponenter/hovedkort/amd-socket/gigabyte-b550-aorus-elite-ax-v2-hovedkort?productList=notSet&position=9,komplett,hovedkort
9,ASUS PRIME Z690-P WIFI Hovedkort,2799.0,,,10,"['LGA', '1700', 'ATX', 'DDR5', '1', 'x', 'PCIe', '5.0/4.0/3.0', 'x16', '3x', 'm.2', '4xUSB', '3.2', 'WIFI', '6', 'Bluet']",komplett.no/img/p/800/1198165.jpg,komplett.no/product/1198165/datautstyr/pc-komponenter/hovedkort/intel-socket/asus-prime-z690-p-wifi-hovedkort?productList=notSet&position=10,komplett,hovedkort
