,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Wilfa WSFB-100S kaffekvern,2849,,,26,"['Kaffekvern', 'stål', '41', 'innstillinger', 'app-tilknytning', '58mm', 'flat', 'burn', 'kvern']",komplett.no/img/p/800/1161929.jpg,komplett.no/product/1161929/hjem-fritid/kaffemaskiner/kaffekverner/wilfa-wsfb-100s-kaffekvern?productList=notSet&position=1,komplett,kaffemaskiner
1,Miele CM 5510 AluSilver Espressomaskin (sort),9990,,,7,"['Frittstående', 'kaffemaskin', 'med', 'OneTouch', 'for', 'Two', '7', 'kaffedrikker', '2', 'brukerprofiler']",komplett.no/img/p/800/1166395.jpg,komplett.no/product/1166395/hjem-fritid/kaffemaskiner/espressomaskiner/miele-cm-5510-alusilver-espressomaskin-sort?productList=notSet&position=2,komplett,kaffemaskiner
2,Starbucks House Blend,69,,,11,"['Starbucks', 'House', 'Blend', 'middels', 'brente', 'kaffebønner', 'med', 'en', 'balansert', 'smak.']",komplett.no/img/p/800/1174732.jpg,komplett.no/product/1174732/hjem-fritid/kaffemaskiner/tilbehoer-til-kaffetraktere-og-espressomaskiner/starbucks-house-blend?productList=notSet&position=3,komplett,kaffemaskiner
3,Moccamaster Automatic (stone grey),2290,,,5,"['125', 'L', 'traktetid:', '6', 'min', 'auto-off', 'automatisk', 'drypp-stopp']",komplett.no/img/p/800/1197083.jpg,komplett.no/product/1197083/hjem-fritid/kaffemaskiner/kaffetraktere/moccamaster-automatic-stone-grey?productList=notSet&position=4,komplett,kaffemaskiner
4,NESPRESSO Essenza Mini by Krups Kapselmaskin (graa),849,,,47,"['Ultrakompakt', 'design', '25', 'sek.', 'oppvarmingstid', 'Espresso', '40', 'ml', 'eller', 'Lungo', '110', 'ml']",komplett.no/img/p/800/1183905.jpg,komplett.no/product/1183905/hjem-fritid/kaffemaskiner/kapselmaskin/nespresso-essenza-mini-by-krups-kapselmaskin-graa?productList=notSet&position=5,komplett,kaffemaskiner
5,Wilfa WSP-2A kaffetrakter,2849,,,19,"['Kaffetrakter', 'aluminium', '1530', 'Watt', '125', 'l.', 'BEST', 'I', 'TEST']",komplett.no/img/p/800/1161931.jpg,komplett.no/product/1161931/hjem-fritid/kaffemaskiner/kaffetraktere/wilfa-wsp-2a-kaffetrakter?productList=notSet&position=6,komplett,kaffemaskiner
6,NESCAFÉ® Dolce Gusto® Genio 2 automatisk Kapselmaskin (sort),799,1099.0,True,50,"['Den', 'automatiske', 'ekstra', 'kompakte', 'NESCAFÉ®', 'Dolce', 'Gusto®', 'Genio', '2', 'kaffekapselmaskin']",komplett.no/img/p/800/1176274.jpg,komplett.no/product/1176274/hjem-fritid/kaffemaskiner/kapselmaskin/nescafe-dolce-gusto-genio-2-automatisk-kapselmaskin-sort?productList=notSet&position=7,komplett,kaffemaskiner
7,Dolce Gusto av Delonghi EDG110.WB Piccolo XS Kapselmaskin (hvit),549,1290.0,True,50,"['Automatisk', 'avstengning', 'etter', '1', 'minutt', 'uten', 'bruk', 'Avtagbar', '06', 'liters', 'vanntank']",komplett.no/img/p/800/1196646.jpg,komplett.no/product/1196646/hjem-fritid/kaffemaskiner/kapselmaskin/dolce-gusto-av-delonghi-edg110wb-piccolo-xs-kapselmaskin-hvit?productList=notSet&position=8,komplett,kaffemaskiner
8,Miele CM 6160 Milk Perfection Espressomaskin (sort),10990,,,0,"['Frittstående', 'kaffemaskin', 'med', '21', 'kaffe-', 'og', 'tedrikker', 'OneTouch', 'for', 'Two']",komplett.no/img/p/800/1171332.jpg,komplett.no/product/1171332/hjem-fritid/kaffemaskiner/espressomaskiner/miele-cm-6160-milk-perfection-espressomaskin-sort?productList=notSet&position=9,komplett,kaffemaskiner
9,DeLonghi Magnifica S Smart Espressomaskin (solv),4359,,,0,"['Intuitivt', 'kontrollpanel', 'med', 'bakgrunnsbelyste', 'knapper', 'og', 'navn']",komplett.no/img/p/800/1182101.jpg,komplett.no/product/1182101/hjem-fritid/kaffemaskiner/espressomaskiner/delonghi-magnifica-s-smart-espressomaskin-soelv?productList=notSet&position=10,komplett,kaffemaskiner
