,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Insta360 ONE X2,5190,,,0,"['Et', 'lomme', 'vanntett', '360', 'kamera.', 'Insta360', 'ONE', 'X2', 'er', 'IPX8', 'vanntett', 'til', '10', 'meter']",komplett.no/img/p/800/1173954.jpg,komplett.no/product/1173954/foto-video/kameraer/videokameraer/insta360-one-x2?productList=notSet&position=1,komplett,kameraer
1,Insta360 Pro 2,60365,,,0,"['8K', '3D', 'VR', 'FlowState', 'stabilisator', 'HDR', 'Video', 'og', 'foto']",komplett.no/img/p/800/1126568.jpg,komplett.no/product/1126568/foto-video/kameraer/videokameraer/insta360-pro-2?productList=notSet&position=2,komplett,kameraer
2,Elgato Facecam Full HD webkamera,1695,,,12,"['USB', '3.0', 'og', 'C', '1080p', '60', 'FPS']",komplett.no/img/p/800/1192127.jpg,komplett.no/product/1192127/foto-video/kameraer/webkameraer/elgato-facecam-full-hd-webkamera?productList=notSet&position=3,komplett,kameraer
3,DJI Action 2 Power Combo,4190,,,1,"['4K/120', 'fps', 'og', 'Super-Wide', 'FOV', 'Magnetisk', 'allsidighet', '10', 'm', 'vanntett', 'AI', 'Editor']",komplett.no/img/p/800/1200288.jpg,komplett.no/product/1200288/foto-video/kameraer/actionkamera/dji-action-2-power-combo?productList=notSet&position=4,komplett,kameraer
4,BlackVue Bilkamera DR750LTE-2ch 32gb,3989,,,10,"['LTE', 'WiFi', 'Bluetooth', 'GPS', 'FULL', 'HD', '60FPS', '2channel']",komplett.no/img/p/800/1163056.jpg,komplett.no/product/1163056/foto-video/kameraer/dashboard-kameraer/blackvue-bilkamera-dr750lte-2ch-32gb?productList=notSet&position=5,komplett,kameraer
5,BLACKVUE Bilkamera DR590X-1CH 32GB,1999,,,0,"['Frontkamera', 'FULL', 'HD', 'G-sensor', 'og', 'bevegelesesensor', 'integrert', 'Power', 'Magic']",komplett.no/img/p/800/1173733.jpg,komplett.no/product/1173733/foto-video/kameraer/dashboard-kameraer/blackvue-bilkamera-dr590x-1ch-32gb?productList=notSet&position=6,komplett,kameraer
6,GoPro HERO10 Black,4899,,,10,"['GoPro', 'Hypersmooth', '4.0', '5K-Video', '23MP', 'kamera', 'GPS', 'vanntett', 'til', '33ft']",komplett.no/img/p/800/1192766.jpg,komplett.no/product/1192766/foto-video/kameraer/actionkamera/gopro-hero10-black?productList=notSet&position=7,komplett,kameraer
7,Trust SpotLight Pro Webkamera,199,,,50,"['USB', '640x480', '1.7m', 'kabel', 'LED', 'lys', 'Omnidirectional', 'mikrofon']",komplett.no/img/p/800/1185682.jpg,komplett.no/product/1185682/foto-video/kameraer/webkameraer/trust-spotlight-pro-webkamera?productList=notSet&position=8,komplett,kameraer
8,DJI Pocket 2 Videokamera,4249,,,0,"['3-axis', 'håndholdt', 'kamerastabilisering', '4K/60fps', 'video', '64', 'MP', 'bilder']",komplett.no/img/p/800/1172199.jpg,komplett.no/product/1172199/foto-video/kameraer/actionkamera/dji-pocket-2-videokamera?productList=notSet&position=9,komplett,kameraer
9,Blackvue Power Magic Pro,629,,,1,"['Til', '2x', 'Blackvue', 'kabellengde:', '19m', '12', '-', '24', 'V']",komplett.no/img/p/800/816034.jpg,komplett.no/product/816034/foto-video/kameraer/dashboard-kameraer/blackvue-power-magic-pro?productList=notSet&position=10,komplett,kameraer
10,Razer Kiyo Pro webkamera,1525,,,50,"['USB', '1080p', 'Vidvinkel', 'HDR']",komplett.no/img/p/800/1181476.jpg,komplett.no/product/1181476/foto-video/kameraer/webkameraer/razer-kiyo-pro-webkamera?productList=notSet&position=11,komplett,kameraer
11,"Logitech Rally Speaker, second speaker",2999,,,10,"['for', 'Logitech', 'Rally']",komplett.no/img/p/800/1116834.jpg,komplett.no/product/1116834/foto-video/kameraer/webkameraer/logitech-rally-speaker-second-speaker?productList=notSet&position=12,komplett,kameraer
12,Logitech wired Personal Video CollabKit – GRAPHITE,2499,,,50,"['HD-webkamera', 'og', 'USB-hodesett', 'perfekt', 'for', 'støyende', 'arbeidsområder.']",komplett.no/img/p/800/1168833.jpg,komplett.no/product/1168833/foto-video/kameraer/webkameraer/logitech-wired-personal-video-collabkit-graphite?productList=notSet&position=13,komplett,kameraer
13,Logitech BRIO Privacy Cover sort,59,,,50,"['Personverndeksel', 'for', 'Brio', 'kamera']",komplett.no/img/p/800/1168834.jpg,komplett.no/product/1168834/foto-video/kameraer/webkameraer/logitech-brio-privacy-cover-sort?productList=notSet&position=14,komplett,kameraer
14,Wired Personal Video CollabKit - Graphite,2499,,,2,"['Logitech', 'Zone', 'kablet', '+', 'C925e', 'webkamera']",komplett.no/img/p/800/1168835.jpg,komplett.no/product/1168835/foto-video/kameraer/webkameraer/wired-personal-video-collabkit-graphite?productList=notSet&position=15,komplett,kameraer
15,Logitech BRIO Privacy Cover,199,,,23,"['Personverndeksel', 'for', 'Brio', 'kamera']",komplett.no/img/p/800/1168836.jpg,komplett.no/product/1168836/foto-video/kameraer/webkameraer/logitech-brio-privacy-cover?productList=notSet&position=16,komplett,kameraer
16,Logitech BRIO kabel,159,,,16,"['Reservekabel', 'til', 'Brio', 'kamera']",komplett.no/img/p/800/1168837.jpg,komplett.no/product/1168837/foto-video/kameraer/webkameraer/logitech-brio-kabel?productList=notSet&position=17,komplett,kameraer
17,Logi Zone Wired USB-A Adapter - GRAPHITE,159,,,21,[],komplett.no/img/p/800/1168838.jpg,komplett.no/product/1168838/foto-video/kameraer/webkameraer/logi-zone-wired-usb-a-adapter-graphite?productList=notSet&position=18,komplett,kameraer
18,Logitech Unifying Audio Receiver,699,,,27,"['Opptil', '6', 'unifying-produkter']",komplett.no/img/p/800/1168839.jpg,komplett.no/product/1168839/foto-video/kameraer/webkameraer/logitech-unifying-audio-receiver?productList=notSet&position=19,komplett,kameraer
19,Logi Zone Wired Earpad Covers - GRAPHITE,199,,,20,[],komplett.no/img/p/800/1168840.jpg,komplett.no/product/1168840/foto-video/kameraer/webkameraer/logi-zone-wired-earpad-covers-graphite?productList=notSet&position=20,komplett,kameraer
20,Logitech TAP Cat5e Kit,4399,,,4,"['Data', 'og', 'strøm', 'over', 'kategorikabel', 'til', 'Logitech', 'Tap']",komplett.no/img/p/800/1193069.jpg,komplett.no/product/1193069/foto-video/kameraer/webkameraer/logitech-tap-cat5e-kit?productList=notSet&position=21,komplett,kameraer
