,name,price_now,price_before,sale,available,stats,image,link,site,category
0,LG GLT71MCCSZ Kjoleskap (matt sort),10990,,,10,"['1.86M', '341L', '-', 'Energiklasse', 'D', 'Door', 'Cooling™', 'og', 'Smart', 'Diagnosis™']",komplett.no/img/p/800/1182763.jpg,komplett.no/product/1182763/hvitevarer/kjoeleskap/lg-glt71mccsz-kjoeleskap-matt-sort?productList=notSet&position=1,komplett,kjoeleskap
1,LG GLT51PZGSZ Kjoleskap (staal),9495,,,10,"['186m', '386L', '10', 'års', 'garanti']",komplett.no/img/p/800/1182765.jpg,komplett.no/product/1182765/hvitevarer/kjoeleskap/lg-glt51pzgsz-kjoeleskap-staal?productList=notSet&position=2,komplett,kjoeleskap
2,Gorenje R6191FW Kjoleskap 185cm (hvit),8329,,,5,"['185x60cm', 'hvit', 'mekanisk', 'kontroll', '368L', 'IonAir', 'DynamiCooling', '2x', 'Crisp']",komplett.no/img/p/800/1171309.jpg,komplett.no/product/1171309/hvitevarer/kjoeleskap/gorenje-r6191fw-kjoeleskap-185cm-hvit?productList=notSet&position=3,komplett,kjoeleskap
3,iiglo KS60170W Kjoleskap (hvit),4190,,,10,"['BDH', '60x60x170', 'nettovolum', '335', 'l']",komplett.no/img/p/800/985472.jpg,komplett.no/product/985472/hvitevarer/kjoeleskap/iiglo-ks60170w-kjoeleskap-hvit?productList=notSet&position=4,komplett,kjoeleskap
4,iiglo BC-94 kjoleskap (hvit),1999,,,10,"['BH', '48x84', 'cm', 'nettovolum', '94', 'l', 'lydnivå', '41dB']",komplett.no/img/p/800/867713.jpg,komplett.no/product/867713/hvitevarer/kjoeleskap/iiglo-bc-94-kjoeleskap-hvit?productList=notSet&position=5,komplett,kjoeleskap
5,iiglo DL1-06 kjoleskap (hvit),1390,,,10,"['BH', '44x51', 'cm', 'nettovolum', '46', 'l', 'lydnivå', '41dB']",komplett.no/img/p/800/900285.jpg,komplett.no/product/900285/hvitevarer/kjoeleskap/iiglo-dl1-06-kjoeleskap-hvit?productList=notSet&position=6,komplett,kjoeleskap
6,LG GLT51SWGSZ Kjoleskap (hvit),7999,,,10,"['186m', '386L', 'Frittstående', '-', 'Energiklasse', 'E', 'Door', 'Cooling™', 'LINEARCooling™']",komplett.no/img/p/800/1182762.jpg,komplett.no/product/1182762/hvitevarer/kjoeleskap/lg-glt51swgsz-kjoeleskap-hvit?productList=notSet&position=7,komplett,kjoeleskap
7,Scandomestic SKS201 Kjoleskap (hvit),4249,,,0,"['189', 'liter']",komplett.no/img/p/800/1155821.jpg,komplett.no/product/1155821/hvitevarer/kjoeleskap/scandomestic-sks201-kjoeleskap-hvit?productList=notSet&position=8,komplett,kjoeleskap
8,Scandomestic SKS 452 X kjoleskap (staal),5990,,,2,"['Nettovolum', 'kjøl', '360', 'ltr.', 'display']",komplett.no/img/p/800/1173513.jpg,komplett.no/product/1173513/hvitevarer/kjoeleskap/scandomestic-sks-452-x-kjoeleskap-staal?productList=notSet&position=9,komplett,kjoeleskap
9,Scandomestic Kjoleskap SKS 450 (hvit),6990,,,10,"['360', 'liter', '40', 'dB(A)', 'HxWxD', 'mm', '1855x595x662']",komplett.no/img/p/800/843546.jpg,komplett.no/product/843546/hvitevarer/kjoeleskap/scandomestic-kjoeleskap-sks-450-hvit?productList=notSet&position=10,komplett,kjoeleskap
10,Coca-Cola Cool Cube kjoleskap,2199,,,0,"['Kjøleskap', 'med', 'original', 'Coca-Cola', 'logo', 'og', 'farge.', '50', 'ltr', '51x43x46', 'cm']",komplett.no/img/p/800/843441.jpg,komplett.no/product/843441/hvitevarer/kjoeleskap/coca-cola-cool-cube-kjoeleskap?productList=notSet&position=11,komplett,kjoeleskap
11,Beko RSNE445M35WN Kjoleskap (hvit),4490,7490.0,True,0,"['185', 'cm', '375', 'L', 'No-Frost', 'CoolRoom®', 'Led', 'Illumination®']",komplett.no/img/p/800/1202595.jpg,komplett.no/product/1202595/hvitevarer/kjoeleskap/beko-rsne445m35wn-kjoeleskap-hvit?productList=notSet&position=12,komplett,kjoeleskap
12,Gorenje R492PW Kjoleskap (hvit),3252,,,0,"['845x56cm', '137L', 'mekanisk', 'kontroll', 'LED-lys']",komplett.no/img/p/800/1171305.jpg,komplett.no/product/1171305/hvitevarer/kjoeleskap/gorenje-r492pw-kjoeleskap-hvit?productList=notSet&position=13,komplett,kjoeleskap
13,Gorenje RI4182E1 Innebygd kjoleskap (hvit),6995,,,0,"['1772x55cm', '301L', 'IonAir', 'med', 'DynamiCooling', 'CrispZone', 'LE']",komplett.no/img/p/800/1171307.jpg,komplett.no/product/1171307/hvitevarer/kjoeleskap/gorenje-ri4182e1-innebygd-kjoeleskap-hvit?productList=notSet&position=14,komplett,kjoeleskap
14,"Beko RSNE445M35XPN Kjoleskap, 375 L (staal)",6990,,,0,"['Rustfritt', 'Stål', '185cm', '375', 'L', 'No-Frost', 'CoolRoom®']",komplett.no/img/p/800/1202573.jpg,komplett.no/product/1202573/hvitevarer/kjoeleskap/beko-rsne445m35xpn-kjoeleskap-375-l-staal?productList=notSet&position=15,komplett,kjoeleskap
