,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Gorenje BM171E2XG Mikroovn - innbygging (sort),3190,,,0,"['Mikroovn', '-', 'innbygging', 'Ovnsrom:', '17', 'ltr.Mikroeffekt:', '700', 'W', 'Grill:', '1000', 'W']",komplett.no/img/p/800/1125514.jpg,komplett.no/product/1125514/hvitevarer/mikroboelgeovner/gorenje-bm171e2xg-mikroovn-innbygging-sort?productList=notSet&position=1,komplett,mikroboelgeovner
1,Severin mikrobolgeovn 2-i-1 (hvit / chrom),1499,,,1,"['20L', '700W', '9', 'effektnivåer', 'grill', 'defrost']",komplett.no/img/p/800/1127400.jpg,komplett.no/product/1127400/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-2-i-1-hvit-chrom?productList=notSet&position=2,komplett,mikroboelgeovner
2,Severin mikrobolgeovn 3-i-1 (solv),1896,,,0,"['30L', '900W', '5', 'effektinivåer', '10', 'auto', 'program', 'grill', 'varmluft', 'tine-program']",komplett.no/img/p/800/1127395.jpg,komplett.no/product/1127395/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-3-i-1-soelv?productList=notSet&position=3,komplett,mikroboelgeovner
3,Severin mikrobolgeovn 2-i-1 (solv / sort),1849,,,1,"['20L', '700W', '10', 'effektnivåer', 'grill', 'defrost']",komplett.no/img/p/800/1127403.jpg,komplett.no/product/1127403/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-2-i-1-soelv-sort?productList=notSet&position=4,komplett,mikroboelgeovner
4,Severin Mikrobolgeovn (sort),2299,,,10,"['25L', '900W', '8', 'auto', 'program', '10', 'effektnivåer', 'defrost', 'barnesikring.']",komplett.no/img/p/800/1173173.jpg,komplett.no/product/1173173/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-sort?productList=notSet&position=5,komplett,mikroboelgeovner
5,Scandomestic MIG 20 Mikrobolgeovn (graa),999,,,10,"['Ovnsvolum', '20', 'l', '700W']",komplett.no/img/p/800/887398.jpg,komplett.no/product/887398/hvitevarer/mikroboelgeovner/scandomestic-mig-20-mikroboelgeovn-graa?productList=notSet&position=6,komplett,mikroboelgeovner
6,Bosch Integrert Mikrobolgeovn BFL524MS0 (sort / staal),3490,,,0,"['Innbygging', '38cm-nisje', '20L', '800W', 'tining', 'oppvarming', 'og', 'tilbereding', 'av', 'mat']",komplett.no/img/p/800/1086239.jpg,komplett.no/product/1086239/hvitevarer/mikroboelgeovner/bosch-integrert-mikroboelgeovn-bfl524ms0-sort-staal?productList=notSet&position=7,komplett,mikroboelgeovner
7,Severin mikrobolgeovn 3-i-1 (staal),2090,,,0,"['25L', '900W', '10', 'effektnivåer', '8', 'auto', 'program', 'grill', 'ultra', 'varmluft', 'tine-program']",komplett.no/img/p/800/1127402.jpg,komplett.no/product/1127402/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-3-i-1-staal?productList=notSet&position=8,komplett,mikroboelgeovner
8,Severin mikrobolgeovn 3-i-1 (sort),1999,,,0,"['25L', '900W', '10', 'effektnivåer', '8', 'auto', 'programmer', 'grill', 'varmluft', 'tine-program']",komplett.no/img/p/800/1127391.jpg,komplett.no/product/1127391/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-3-i-1-sort?productList=notSet&position=9,komplett,mikroboelgeovner
9,Miele M 2230 OBSW Integrert mikrobolgeovn (sort),9995,,,0,"['60', 'cm', 'Mikrobølge', 'med', '17', 'liter', 'kapasitet', '80-900', 'watt', 'og', '15', 'autoprogrammer']",komplett.no/img/p/800/1161844.jpg,komplett.no/product/1161844/hvitevarer/mikroboelgeovner/miele-m-2230-obsw-integrert-mikroboelgeovn-sort?productList=notSet&position=10,komplett,mikroboelgeovner
10,Bosch Integrert Mikrobolgeovn BFL520MB0 (sort),3995,,,0,['800W'],komplett.no/img/p/800/1176926.jpg,komplett.no/product/1176926/hvitevarer/mikroboelgeovner/bosch-integrert-mikroboelgeovn-bfl520mb0-sort?productList=notSet&position=11,komplett,mikroboelgeovner
11,Severin Mikrobolgeovn MW 7758 (staal),2249,,,0,"['3-in-1', 'med', 'keramisk', 'bunn.', '80%', 'mer', 'plass', 'og', 'matlaging', 'i', 'to', 'høyder.', '25L']",komplett.no/img/p/800/1177188.jpg,komplett.no/product/1177188/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-mw-7758-staal?productList=notSet&position=12,komplett,mikroboelgeovner
12,Gorenje BCM547S12B Integrert Kombi Mikrobolgeovn (sort),9490,,,0,"['45cm', '50L', 'ovn', 'AquaClean', 'IconTouch-skjerm']",komplett.no/img/p/800/1171286.jpg,komplett.no/product/1171286/hvitevarer/mikroboelgeovner/gorenje-bcm547s12b-integrert-kombi-mikroboelgeovn-sort?productList=notSet&position=13,komplett,mikroboelgeovner
13,Beko BMGB 20212 B Innebygd mikrobolgeovn (sort),3490,,,0,"['800', 'W', '20', 'L', 'Grill', 'funksjon', 'Innvendig', 'lys']",komplett.no/img/p/800/1202598.jpg,komplett.no/product/1202598/hvitevarer/mikroboelgeovner/beko-bmgb-20212-b-innebygd-mikroboelgeovn-sort?productList=notSet&position=14,komplett,mikroboelgeovner
14,Severin mikrobolgeovn 3-i-1 (staal),2999,,,0,"['25L', '900W', '10', 'effektnivåer', '8', 'auto', 'program', 'grill', 'varmluft', 'tine-program']",komplett.no/img/p/800/1127393.jpg,komplett.no/product/1127393/hvitevarer/mikroboelgeovner/severin-mikroboelgeovn-3-i-1-staal?productList=notSet&position=15,komplett,mikroboelgeovner
15,Miele M2224 Integrert mikrobolgeovn (sort),9990,,,0,"['EasySensor', 'LED', 'Spot', '17', 'liter', '80-800W', 'grill', '15.', 'aut.', 'programmer', '50', 'cm', 'bred']",komplett.no/img/p/800/1137802.jpg,komplett.no/product/1137802/hvitevarer/mikroboelgeovner/miele-m2224-integrert-mikroboelgeovn-sort?productList=notSet&position=16,komplett,mikroboelgeovner
16,Miele M 2234 OBSW Integrert mikrobolgeovn (sort),11899,,,0,"['50', 'cm', 'Mikrobølge', 'med', '17', 'liter', 'kapasitet', '80-900', 'watt', 'grill', 'og', '15', 'autoprogrammer']",komplett.no/img/p/800/1161845.jpg,komplett.no/product/1161845/hvitevarer/mikroboelgeovner/miele-m-2234-obsw-integrert-mikroboelgeovn-sort?productList=notSet&position=17,komplett,mikroboelgeovner
