,name,price_now,price_before,sale,available,stats,image,link,site,category
0,"Beko BDIN1E420 Helintegrert Oppvaskmaskin, Full storrelse",4299,,,10,"['Helintegrert', '82x60x55cm', '46', 'dBA', 'Flyttbar', 'bestikkurv', 'SelFit®']",komplett.no/img/p/800/1202583.jpg,komplett.no/product/1202583/hvitevarer/oppvaskmaskiner/beko-bdin1e420-helintegrert-oppvaskmaskin-full-stoerrelse?productList=notSet&position=1,komplett,oppvaskmaskiner
1,ASKO Oppvaskmaskin DBI233IB.W/1 (hvit),7490,,,10,"['Underbygd', '44db', '13', 'Kuverter', '2', 'kurver', 'Turbo', 'Drying']",komplett.no/img/p/800/1133594.jpg,komplett.no/product/1133594/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dbi233ibw1-hvit?productList=notSet&position=2,komplett,oppvaskmaskiner
2,Beko BDUN1E420W Oppvaskmaskin,3333,,,10,"['Integrert', '46', 'dBA', '82x60x57cm', 'Flyttbar', 'bestikkurv', 'Foldbar', 'tallerkenstøtte']",komplett.no/img/p/800/1202580.jpg,komplett.no/product/1202580/hvitevarer/oppvaskmaskiner/beko-bdun1e420w-oppvaskmaskin?productList=notSet&position=3,komplett,oppvaskmaskiner
3,Bosch SMU6ZCW00S Oppvaskmaskin (hvit),6990,13990.0,True,10,"['Serie', '6', '60cm', 'Wifi', 'Zeolith', 'tørking']",komplett.no/img/p/800/1174072.jpg,komplett.no/product/1174072/hvitevarer/oppvaskmaskiner/bosch-smu6zcw00s-oppvaskmaskin-hvit?productList=notSet&position=4,komplett,oppvaskmaskiner
4,ASKO Oppvaskmaskin DSD444B (integrert),10490,,,5,"['Fullintegrert', '42db', '14', 'kuverter', '3', 'kurver', 'Passer', 'til', 'IKEA']",komplett.no/img/p/800/1133591.jpg,komplett.no/product/1133591/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dsd444b-integrert?productList=notSet&position=5,komplett,oppvaskmaskiner
5,Bosch SMU4ECW08S Integrert Oppvaskmaskin (hvit),9990,,,10,"['Serie', '4', '46db', 'Home', 'Connect', 'Efficient', 'Dry', 'Zeolith', 'Wifi']",komplett.no/img/p/800/1174075.jpg,komplett.no/product/1174075/hvitevarer/oppvaskmaskiner/bosch-smu4ecw08s-integrert-oppvaskmaskin-hvit?productList=notSet&position=6,komplett,oppvaskmaskiner
6,Asko oppvaskmaskin DFI444B (integrert),9990,,,0,"['Fullintegrert', '42dB', '14', 'kuverter', '3', 'kurver', 'Turbo', 'drying']",komplett.no/img/p/800/1146975.jpg,komplett.no/product/1146975/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dfi444b-integrert?productList=notSet&position=7,komplett,oppvaskmaskiner
7,Asko oppvaskmaskin DFI433B (integrert),8499,,,3,"['Fullintegrert', '44dB', '13', 'kuverter', '2', 'kurver', 'Turbo', 'Drying']",komplett.no/img/p/800/1146976.jpg,komplett.no/product/1146976/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dfi433b-integrert?productList=notSet&position=8,komplett,oppvaskmaskiner
8,Asko oppvaskmaskin DFI444BXXL (integrert),10899,,,10,"['Fullintegrert', '42dB', '14', 'kuvert', '3', 'kurver', 'Turbo', 'drying', 'Passer', 'til', 'IKEA']",komplett.no/img/p/800/1146973.jpg,komplett.no/product/1146973/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dfi444bxxl-integrert?productList=notSet&position=9,komplett,oppvaskmaskiner
9,Bosch SMU2ITW04S Oppvaskmaskin (hvit),3990,,,10,"['Underbygget', '50', 'db', 'Serie', '2', '60cm']",komplett.no/img/p/800/1174074.jpg,komplett.no/product/1174074/hvitevarer/oppvaskmaskiner/bosch-smu2itw04s-oppvaskmaskin-hvit?productList=notSet&position=10,komplett,oppvaskmaskiner
10,Beko BDIN38K640 Helintegrert Oppvaskmaskin,4490,7490.0,True,10,"['Helintegrert', '42', 'dBA', '80x60x55cm', 'Flyttbar', 'bestikkurv', 'SteamGloss®']",komplett.no/img/p/800/1202578.jpg,komplett.no/product/1202578/hvitevarer/oppvaskmaskiner/beko-bdin38k640-helintegrert-oppvaskmaskin?productList=notSet&position=11,komplett,oppvaskmaskiner
