,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Intel Core i5-12400F CPU,1999,,,50,"['Socket-LGA', '1700', '6-Core', '12-Threads', '2.5/4.4GHz', 'Alder', 'Lake']",komplett.no/img/p/800/1203826.jpg,komplett.no/product/1203826/datautstyr/pc-komponenter/prosessorer/intel-core-i5-12400f-cpu?productList=notSet&position=1,komplett,prosessorer
1,Intel Core i9-10920X CPU,8999,,,4,"['Socket-2066', '12-Core', '24-Thread', '3.5/4.6GHz', '165W', '48', 'PCIe-lanes', 'uten', 'kjøler']",komplett.no/img/p/800/1141959.jpg,komplett.no/product/1141959/datautstyr/pc-komponenter/prosessorer/intel-core-i9-10920x-cpu?productList=notSet&position=2,komplett,prosessorer
2,Intel Core i7-10700F CPU,3249,,,9,"['Socket-LGA1200', '8-Core', '16-Thread', '2.9/4.8GHz', 'Comet', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1155665.jpg,komplett.no/product/1155665/datautstyr/pc-komponenter/prosessorer/intel-core-i7-10700f-cpu?productList=notSet&position=3,komplett,prosessorer
3,Intel Core i3-10100F CPU,949,,,10,"['Socket-LGA1200', '4-Core', '8-Thread', '3.6/4.3GHz', 'Comet', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1172343.jpg,komplett.no/product/1172343/datautstyr/pc-komponenter/prosessorer/intel-core-i3-10100f-cpu?productList=notSet&position=4,komplett,prosessorer
4,Intel Core i5-10600KF CPU,2290,,,14,"['Socket-LGA1200', '6-Core', '12-Thread', '4.1/4.8GHz', 'Comet', 'Lake', 'uten', 'kjøler']",komplett.no/img/p/800/1155714.jpg,komplett.no/product/1155714/datautstyr/pc-komponenter/prosessorer/intel-core-i5-10600kf-cpu?productList=notSet&position=5,komplett,prosessorer
5,Intel Core i7-12700KF CPU,4599,,,0,"['LGA1700', '12-Core', '20-Thread', '3.6/5.0GHz', 'Alder', 'Lake', 'uten', 'kjøler']",komplett.no/img/p/800/1197857.jpg,komplett.no/product/1197857/datautstyr/pc-komponenter/prosessorer/intel-core-i7-12700kf-cpu?productList=notSet&position=6,komplett,prosessorer
6,AMD AM4 Ryzen 7 5800X3D CPU,4999,,,49,"['Socket-AM4', '8-core', '16-thread', '3.4/4.5Ghz', '105w', '100MB', 'cache']",komplett.no/img/p/800/1212166.jpg,komplett.no/product/1212166/datautstyr/pc-komponenter/prosessorer/amd-am4-ryzen-7-5800x3d-cpu?productList=notSet&position=7,komplett,prosessorer
7,Intel Core i7-10700KF CPU,3699,,,5,"['Socket-LGA1200', '8-Core', '16-Thread', '3.8/5.1GHz', 'Comet', 'Lake', 'uten', 'kjøler']",komplett.no/img/p/800/1155674.jpg,komplett.no/product/1155674/datautstyr/pc-komponenter/prosessorer/intel-core-i7-10700kf-cpu?productList=notSet&position=8,komplett,prosessorer
8,Intel Core i7-11700 CPU,3490,,,5,"['Socket-LGA1200', '8-Core', '16-Thread', '2.5/4.9GHz', 'Rocket', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1180156.jpg,komplett.no/product/1180156/datautstyr/pc-komponenter/prosessorer/intel-core-i7-11700-cpu?productList=notSet&position=9,komplett,prosessorer
9,Intel Core i5-11400 CPU,2199,,,18,"['Socket-LGA1200', '6-Core', '12-Thread', '2.6/4.4GHz', 'Rocket', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1180164.jpg,komplett.no/product/1180164/datautstyr/pc-komponenter/prosessorer/intel-core-i5-11400-cpu?productList=notSet&position=10,komplett,prosessorer
10,Intel Core i9-11900F CPU,4999,,,1,"['Socket-LGA1200', '8-Core', '16-Thread', '2.5/5.2GHz', 'Rocket', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1180174.jpg,komplett.no/product/1180174/datautstyr/pc-komponenter/prosessorer/intel-core-i9-11900f-cpu?productList=notSet&position=11,komplett,prosessorer
11,Intel Core i5-11500 CPU,2349,,,7,"['Socket-LGA1200', '6-Core', '12-Thread', '2.7/4.6GHz', 'Rocket', 'Lake', 'inkl', 'kjøler']",komplett.no/img/p/800/1180176.jpg,komplett.no/product/1180176/datautstyr/pc-komponenter/prosessorer/intel-core-i5-11500-cpu?productList=notSet&position=12,komplett,prosessorer
12,AMD AM4 Ryzen 7 5700G CPU,3499,,,50,"['Socket-AM4', '8-Core', '16-Thread', '3.8/4.6GHz', '65W', '7nm', 'inkl.', 'kjøler']",komplett.no/img/p/800/1189381.jpg,komplett.no/product/1189381/datautstyr/pc-komponenter/prosessorer/amd-am4-ryzen-7-5700g-cpu?productList=notSet&position=13,komplett,prosessorer
13,AMD AM4 Ryzen 5 5600G CPU,2349,,,50,"['Socket-AM4', '6-Core', '12-Thread', '3.9/4.4GHz', '65W', '7nm', 'inkl.', 'kjøler']",komplett.no/img/p/800/1189380.jpg,komplett.no/product/1189380/datautstyr/pc-komponenter/prosessorer/amd-am4-ryzen-5-5600g-cpu?productList=notSet&position=14,komplett,prosessorer
14,Intel Core i9-10900KF CPU,4949,,,3,"['Socket-LGA1200', '10-Core', '20-Thread', '3.7/5.3GHz', 'Comet', 'Lake', 'uten', 'kjøler']",komplett.no/img/p/800/1155688.jpg,komplett.no/product/1155688/datautstyr/pc-komponenter/prosessorer/intel-core-i9-10900kf-cpu?productList=notSet&position=15,komplett,prosessorer
