,name,price_now,price_before,sale,stats,available,image,link,site
0,"AOC 27"" skjerm Q2790PQE",3845,,,"['2560x1440', 'IPS', '4ms', '1000:1', 'VGA/2xHDMI/DP']",10 stk. paa lager.,komplett.no/img/p/800/1164174,komplett.no/product/1164174/datautstyr/skjermer/skjermer/aoc-27-skjerm-q2790pqe?productList=notSet&position=1,komplett
1,"BenQ 27"" LED PD2700Q",3995,,,"['2560x1440', 'IPS', '4ms', '20M:1', 'Speakers', 'HDMI/DP/M-DP']",50+ stk. paa lager.,komplett.no/img/p/800/913869,komplett.no/product/913869/datautstyr/skjermer/skjermer/benq-27-led-pd2700q?productList=notSet&position=2,komplett
2,"AOC 32"" Agon Pro 4K gamingskjerm AG324UX",11869,,,"['3840x2160', 'IPS', '144hz', '1', 'ms', '1000:1', 'HDR400', '2xHDMI', '2.1/DP/USB-C(90w)']",8 stk. paa lager.,komplett.no/img/p/800/1198576,komplett.no/product/1198576/gaming/gaming-utstyr/gamingskjermer/aoc-32-agon-pro-4k-gamingskjerm-ag324ux?productList=notSet&position=3,komplett
3,"Samsung 27"" skjerm S27R650F",2749,,,"['1920x1080', 'IPS', '5ms', '1000:1', 'Pivot', 'USB', 'HUB', 'VGA/HDMI/DP']",5 stk. paa lager.,komplett.no/img/p/800/1146424,komplett.no/product/1146424/datautstyr/skjermer/skjermer/samsung-27-skjerm-s27r650f?productList=notSet&position=4,komplett
4,"Philips 24"" skjerm 242B1/00",2914,,,"['1920x1080', 'IPS', '4ms', '1000:1', 'Speakers', 'VGA/DVI/HDMI/DP']",25 stk. paa lager.,komplett.no/img/p/800/1164065,komplett.no/product/1164065/datautstyr/skjermer/skjermer/philips-24-skjerm-242b100?productList=notSet&position=5,komplett
5,"BenQ ZOWIE 24"" gamingskjerm XL2411K",2749,,,"['1920x1080', '144hz', '1000:1', 'DyAc', '2xHDMI/DP']",32 stk. paa lager.,komplett.no/img/p/800/1169508,komplett.no/product/1169508/gaming/gaming-utstyr/gamingskjermer/benq-zowie-24-gamingskjerm-xl2411k?productList=notSet&position=6,komplett
6,"Samsung 34"" Curved skjerm S34A650",7695,,,"['3440x1440', 'VA', '4ms', '100hz', '3000:1', 'HDR10', 'DP/HDMI/USB-C(90W)']",50+ stk. paa lager.,komplett.no/img/p/800/1187008,komplett.no/product/1187008/datautstyr/skjermer/skjermer/samsung-34-curved-skjerm-s34a650?productList=notSet&position=7,komplett
7,"Philips 32"" Curved skjerm 325E1C/00",3289,,,"['2560x1440', 'VA', '4ms', '3000:1', 'FreeSync', 'VGA/HDMI/DP']",11 stk. paa lager.,komplett.no/img/p/800/1138848,komplett.no/product/1138848/datautstyr/skjermer/skjermer/philips-32-curved-skjerm-325e1c00?productList=notSet&position=8,komplett
8,"LG 32"" 4K skjerm 32UN880-BV",8995,,,"['3840x2160', 'IPS', '5ms', '1000:1', 'FreeSync', 'HDMI/DP/USB-C(60w)']",24 stk. paa lager.,komplett.no/img/p/800/1172329,komplett.no/product/1172329/datautstyr/skjermer/skjermer/lg-32-4k-skjerm-32un880-bv?productList=notSet&position=9,komplett
9,"Philips 27"" skjerm 275E1S/00",2195,2699.0,True,"['2560x1440', 'IPS', '4ms', '1000:1', 'FreeSync', 'VGA/HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1138846,komplett.no/product/1138846/datautstyr/skjermer/skjermer/philips-27-skjerm-275e1s00?productList=notSet&position=10,komplett
10,"AOC 27"" skjerm Q27P2Q",3651,,,"['2560x1440', 'IPS', '75hz', '4ms', '1000:1', 'Speakers', 'VGA/HDMI/DP']",40 stk. paa lager.,komplett.no/img/p/800/1164164,komplett.no/product/1164164/datautstyr/skjermer/skjermer/aoc-27-skjerm-q27p2q?productList=notSet&position=11,komplett
11,"Philips 32"" skjerm 325B1L/00",3845,,,"['2560x1440', 'IPS', '75hz', '4ms', '1000:1', 'Speakers', '2xHDMI/DP']",35 stk. paa lager.,komplett.no/img/p/800/1171891,komplett.no/product/1171891/datautstyr/skjermer/skjermer/philips-32-skjerm-325b1l00?productList=notSet&position=12,komplett
12,"ASUS 32"" gamingskjerm ROG Swift PG329Q",8495,,,"['2560x1440', 'IPS', '175hz*', '1ms', '1000:1', 'HDR600', 'G-Sync', 'Compatible', '2xHDMI/DP']",27 stk. paa lager.,komplett.no/img/p/800/1174239,komplett.no/product/1174239/gaming/gaming-utstyr/gamingskjermer/asus-32-gamingskjerm-rog-swift-pg329q?productList=notSet&position=13,komplett
13,"ASUS 24"" gamingskjerm ROG Strix XG249CM",4389,,,"['1920x1080', 'IPS', '270hz', '1ms', '1000:1', 'G-SYNC', 'Compatible', 'HDR10', 'HDMI/DP']",21 stk. paa lager.,komplett.no/img/p/800/1204868,komplett.no/product/1204868/gaming/gaming-utstyr/gamingskjermer/asus-24-gamingskjerm-rog-strix-xg249cm?productList=notSet&position=14,komplett
14,"ASUS 34"" Curved gamingskjerm ROG Strix XG349C",13739,,,"['3440x1440', 'IPS', '180hz*', '1ms', '1000:1', 'HDR400', 'G-Sync', 'compatible', 'HDMI/DP']",2 stk. paa lager.,komplett.no/img/p/800/1191011,komplett.no/product/1191011/gaming/gaming-utstyr/gamingskjermer/asus-34-curved-gamingskjerm-rog-strix-xg349c?productList=notSet&position=15,komplett
15,"Samsung 27"" skjerm F27T452",2395,,,"['1920x1080', 'IPS', '5ms', '1000:1', 'Pivot', '2xHDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1187010,komplett.no/product/1187010/datautstyr/skjermer/skjermer/samsung-27-skjerm-f27t452?productList=notSet&position=16,komplett
16,"AOC 32"" 4K skjerm U32P2CA",4939,,,"['3840x2160', 'VA', '4ms', '3000:1', 'Speakers', '2xHDMI/DP/USB-C(65w)']",30 stk. paa lager.,komplett.no/img/p/800/1204429,komplett.no/product/1204429/datautstyr/skjermer/skjermer/aoc-32-4k-skjerm-u32p2ca?productList=notSet&position=17,komplett
17,"ASUS 27"" gamingskjerm TUF VG279QR",2790,,,"['1920x1080', 'IPS', '165hz', '1ms*', '1000:1', 'G-Sync', 'compatible', '2xHDMI/DP']",39 stk. paa lager.,komplett.no/img/p/800/1178079,komplett.no/product/1178079/gaming/gaming-utstyr/gamingskjermer/asus-27-gamingskjerm-tuf-vg279qr?productList=notSet&position=18,komplett
18,"LG 27"" skjerm 27MP400",2195,,,"['1920x1080', 'IPS', '5ms', '600:1', 'FreeSync', 'VGA/HDMI']",50+ stk. paa lager.,komplett.no/img/p/800/1193450,komplett.no/product/1193450/datautstyr/skjermer/skjermer/lg-27-skjerm-27mp400?productList=notSet&position=19,komplett
19,"AOC 34"" Curved skjerm CU34P2A",4790,,,"['3440x1440', 'VA', '100hz', '4ms', '3000:1', 'FreeSync', '2xHDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1171819,komplett.no/product/1171819/datautstyr/skjermer/skjermer/aoc-34-curved-skjerm-cu34p2a?productList=notSet&position=20,komplett
20,"ASUS 15,6"" ZenScreen MB16AP",3849,,,"['1920x1080', 'IPS', '800:1', 'Smart', 'Case', 'Battery', 'USB-C']",Ikke paa lager. 9 stk. Ubekreftet 4.jun..2022,komplett.no/img/p/800/1113185,komplett.no/product/1113185/datautstyr/skjermer/skjermer/asus-156-zenscreen-mb16ap?productList=notSet&position=21,komplett
21,"Samsung 27"" skjerm S27A600",3959,,,"['2560x1440', 'IPS', '4ms', '1000:1', 'HDR10', 'Pivot', 'HDMI/DP/USB-C(90w)']",Ikke paa lager. 50+ stk. bekreftet sendingsklare 26.mai.2022,komplett.no/img/p/800/1187011,komplett.no/product/1187011/datautstyr/skjermer/skjermer/samsung-27-skjerm-s27a600?productList=notSet&position=22,komplett
22,"Samsung 24AG324 24"" gamingskjerm",1995,,,"['1920x1080', 'VA', '165hz', '1ms', '3000:1', 'FreeSync', 'HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1204615,komplett.no/product/1204615/gaming/gaming-utstyr/gamingskjermer/samsung-24ag324-24-gamingskjerm?productList=notSet&position=23,komplett
23,"Samsung 24"" skjerm S24R650F",2525,,,"['1920x1080', 'IPS', '5ms', '1000:1', 'Pivot', 'USB', 'HUB', 'VGA/HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1146425,komplett.no/product/1146425/datautstyr/skjermer/skjermer/samsung-24-skjerm-s24r650f?productList=notSet&position=24,komplett
24,"Lenovo 27"" skjerm ThinkVision T27i-10",2859,,,"['1920x1080', 'IPS', '75hz', '4ms', '1000:1', 'VGA/HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1068896,komplett.no/product/1068896/datautstyr/skjermer/skjermer/lenovo-27-skjerm-thinkvision-t27i-10?productList=notSet&position=25,komplett
25,"Lenovo 28"" 4K skjerm L28u-30",4059,,,"['3840x2160', 'IPS', '4ms', '1000:1', 'FreeSync', 'HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1159349,komplett.no/product/1159349/datautstyr/skjermer/skjermer/lenovo-28-4k-skjerm-l28u-30?productList=notSet&position=26,komplett
26,"Samsung 27"" skjerm 27T354",2095,,,"['1920x1080', 'IPS', '75hz', '5ms', '1000:1', 'HDMI/VGA']",50+ stk. paa lager.,komplett.no/img/p/800/1173808,komplett.no/product/1173808/datautstyr/skjermer/skjermer/samsung-27-skjerm-27t354?productList=notSet&position=27,komplett
27,"LG 38"" Curved skjerm 38WN95C-W",17589,,,"['3840x1600', 'IPS', '144hz', '1ms', '1000:1', '2xHDMI/DP/USB-C/Thunderbolt(94w)']",Ikke paa lager. 15 stk. forventes sendingsklare 11.jun..2022 (usikker dato),komplett.no/img/p/800/1158325,komplett.no/product/1158325/datautstyr/skjermer/skjermer/lg-38-curved-skjerm-38wn95c-w?productList=notSet&position=28,komplett
28,"Philips 27"" skjerm 275S1AE/00",3295,,,"['2560x1440', 'IPS', '4ms', '1000:1', 'Speakers', 'DVI/HDMI/DP']",Ikke paa lager. 50+ stk. forventes sendingsklare 17.sep..2022 (usikker dato),komplett.no/img/p/800/1164059,komplett.no/product/1164059/datautstyr/skjermer/skjermer/philips-27-skjerm-275s1ae00?productList=notSet&position=29,komplett
29,"AOC 49"" Agon Curved gamingskjerm AG493UCX",10995,,,"['5120x1440', 'VA', '120hz', '1ms*', '3000:1', 'HDR400m', 'FreeSync', '2xHDMI/2xDP']",Ikke paa lager. 9 stk. forventes sendingsklare 17.sep..2022 (usikker dato),komplett.no/img/p/800/1174584,komplett.no/product/1174584/gaming/gaming-utstyr/gamingskjermer/aoc-49-agon-curved-gamingskjerm-ag493ucx?productList=notSet&position=30,komplett
30,"Philips 49"" Curved skjerm 498P9/00",11495,,,"['5120x1440', 'VA', '70hz', '4ms', '3000:1', 'Speakers', '2xHDMI/DP']",15 stk. paa lager.,komplett.no/img/p/800/1164054,komplett.no/product/1164054/datautstyr/skjermer/skjermer/philips-49-curved-skjerm-498p900?productList=notSet&position=31,komplett
31,"Samsung 49"" gamingskjerm Odyssey G9 Neo",13990,19990.0,True,"['5120x1440', 'VA', '240hz', '1ms', '1m:1', 'QLED', 'HDR10+', 'Mini-LED', 'G-Sync', '2xHDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1187750,komplett.no/product/1187750/datautstyr/skjermer/skjermer/samsung-49-gamingskjerm-odyssey-g9-neo?productList=notSet&position=33,komplett
32,"Svive 35"" Curved gamingskjerm PYX 35D601",4995,5995.0,True,"['3440x1440', 'VA', '180Hz', '5ms', '2500:1', 'HDR400', 'FreeSync', '2xHDMI/2xDP']",50+ stk. paa lager.,komplett.no/img/p/800/1182510,komplett.no/product/1182510/gaming/gaming-utstyr/gamingskjermer/svive-35-curved-gamingskjerm-pyx-35d601?productList=notSet&position=34,komplett
33,"AOC 32"" skjerm Q32V4",3195,,,"['2560x1440', 'IPS', '75hz', '4ms', '1200:1', 'Speakers', 'HDMI/DP']",42 stk. paa lager.,komplett.no/img/p/800/1190794,komplett.no/product/1190794/datautstyr/skjermer/skjermer/aoc-32-skjerm-q32v4?productList=notSet&position=35,komplett
34,"Philips 27"" gamingskjerm 272E1GAJ/00",2695,,,"['1920x1080', 'VA', '144hz', '1ms*', 'Speakers', 'FreeSync', 'HDMI/DP']",9 stk. paa lager.,komplett.no/img/p/800/1170081,komplett.no/product/1170081/gaming/gaming-utstyr/gamingskjermer/philips-27-gamingskjerm-272e1gaj00?productList=notSet&position=36,komplett
35,"ASUS 27"" gamingskjerm ROG Strix XG27AQ",5495,,,"['2560x1440', 'IPS', '170hz', '1ms', '1000:1', 'HDR10', 'G-Sync', 'compatible', '2xHDMI/DP']",Bestillingsvare. Bestilles ved ordre. Leveringstid 2-3 uker.,komplett.no/img/p/800/1200319,komplett.no/product/1200319/gaming/gaming-utstyr/gamingskjermer/asus-27-gamingskjerm-rog-strix-xg27aq?productList=notSet&position=37,komplett
36,"AOC 24"" skjerm 24P2C",2749,,,"['1920x1080', 'IPS', '75hz', '4ms', '1000:1', 'Speakers', 'HDMI/DP']",19 stk. paa lager.,komplett.no/img/p/800/1164167,komplett.no/product/1164167/datautstyr/skjermer/skjermer/aoc-24-skjerm-24p2c?productList=notSet&position=38,komplett
37,"AOC 24"" skjerm 24P2Q",2295,,,"['1920x1080', 'IPS', '75hz', '4ms', '1000:1', 'Speakers', 'VGA/DVI/HDMI/DP']",50+ stk. paa lager.,komplett.no/img/p/800/1164175,komplett.no/product/1164175/datautstyr/skjermer/skjermer/aoc-24-skjerm-24p2q?productList=notSet&position=39,komplett
38,"ASUS 27"" 4K skjerm ProArt PA279CV",5495,,,"['3840x2160', 'IPS', '5ms', '1000:1', '100%', 'sRGB', '100%', 'rec.709', '2xHDMI/DP/USB-C', '(65w)']",49 stk. paa lager.,komplett.no/img/p/800/1178077,komplett.no/product/1178077/datautstyr/skjermer/skjermer/asus-27-4k-skjerm-proart-pa279cv?productList=notSet&position=40,komplett
39,"Apple Studio Display (2022) 27.5"" 5K",26389,,,"['Standard-glass', 'stativ', 'med', 'vinkel-', 'og', 'høydejustering']",Ikke paa lager. 50+ stk. Ubekreftet 15.jun..2022,komplett.no/img/p/800/1211800,komplett.no/product/1211800/datautstyr/skjermer/skjermer/apple-studio-display-2022-275-5k?productList=notSet&position=41,komplett
