,name,price_now,price_before,sale,available,stats,image,link,site,category
0,MSI GeForce RTX 3090 VENTUS 3X OC,22990,,,8,"['Skjermkort', 'PCI-Express', '4.0', '24GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1168381.jpg,komplett.no/product/1168381/datautstyr/pc-komponenter/skjermkort/msi-geforce-rtx-3090-ventus-3x-oc?productList=notSet&position=1,komplett,skjermkort
1,MSI Radeon RX 6900 XT GAMING X TRIO,16279,,,14,"['Skjermkort', 'PCI-Express', '4.0', '16GB', 'GDDR6', 'Big', 'Navi']",komplett.no/img/p/800/1177731.jpg,komplett.no/product/1177731/datautstyr/pc-komponenter/skjermkort/msi-radeon-rx-6900-xt-gaming-x-trio?productList=notSet&position=2,komplett,skjermkort
2,ZOTAC GeForce RTX 3080 Ti Trinity OC,16999,,,24,"['Skjermkort', 'PCI-Express', '4.0', '12GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1186872.jpg,komplett.no/product/1186872/datautstyr/pc-komponenter/skjermkort/zotac-geforce-rtx-3080-ti-trinity-oc?productList=notSet&position=4,komplett,skjermkort
3,ZOTAC GeForce RTX 3080 Ti AMP HOLO,17999,,,25,"['Skjermkort', 'PCI-Express', '4.0', '12GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1186873.jpg,komplett.no/product/1186873/datautstyr/pc-komponenter/skjermkort/zotac-geforce-rtx-3080-ti-amp-holo?productList=notSet&position=5,komplett,skjermkort
4,Gigabyte GeForce RTX 3070 Ti Vision OC,8799,,,9,"['Skjermkort', 'PCI-Express', '4.0', '8GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1188521.jpg,komplett.no/product/1188521/datautstyr/pc-komponenter/skjermkort/gigabyte-geforce-rtx-3070-ti-vision-oc?productList=notSet&position=6,komplett,skjermkort
5,ASUS GeForce RTX 3080 TUF Gaming OC V2,11990,,,50,"['Skjermkort', 'PCI', 'Express', '4.0', '10GB', 'GDDR6X', 'LHR']",komplett.no/img/p/800/1190961.jpg,komplett.no/product/1190961/datautstyr/pc-komponenter/skjermkort/asus-geforce-rtx-3080-tuf-gaming-oc-v2?productList=notSet&position=8,komplett,skjermkort
6,ASUS GeForce RTX 3070 ROG Strix OC W V2,8999,,,12,"['Skjermkort', 'PCI', 'Express', '4.0', '8GB', 'GDDR6', 'LHR']",komplett.no/img/p/800/1190965.jpg,komplett.no/product/1190965/datautstyr/pc-komponenter/skjermkort/asus-geforce-rtx-3070-rog-strix-oc-w-v2?productList=notSet&position=9,komplett,skjermkort
7,MSI Radeon RX 6600 XT GAMING X 8G,5799,,,6,"['Skjermkort', 'PCI', 'Express', 'Gen', '4', '8GB', 'GDDR6']",komplett.no/img/p/800/1191630.jpg,komplett.no/product/1191630/datautstyr/pc-komponenter/skjermkort/msi-radeon-rx-6600-xt-gaming-x-8g?productList=notSet&position=10,komplett,skjermkort
8,Gigabyte Radeon RX 6600 XT Gaming OC,6199,,,1,"['Skjermkort', 'PCI-E', '4.0', 'x', '16', '8GB', 'GDDR6']",komplett.no/img/p/800/1192288.jpg,komplett.no/product/1192288/datautstyr/pc-komponenter/skjermkort/gigabyte-radeon-rx-6600-xt-gaming-oc?productList=notSet&position=12,komplett,skjermkort
9,ASUS GeForce RTX 3090 TI TUF Gaming OC,27490,,,2,"['Skjermkort', 'PCI', 'Express', '4.0', '24GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1205553.jpg,komplett.no/product/1205553/datautstyr/pc-komponenter/skjermkort/asus-geforce-rtx-3090-ti-tuf-gaming-oc?productList=notSet&position=13,komplett,skjermkort
10,ZOTAC GeForce RTX 3050 Twin Edge OC,4199,,,18,"['Skjermkort', 'PCI', 'Express', '4.0', '8GB', 'GDDR6', 'Ampere']",komplett.no/img/p/800/1205651.jpg,komplett.no/product/1205651/datautstyr/pc-komponenter/skjermkort/zotac-geforce-rtx-3050-twin-edge-oc?productList=notSet&position=14,komplett,skjermkort
11,XFX Radeon RX 6700 XT Speedster QICK 319,7990,,,50,"['Skjermkort', 'PCI-Express', '4.0', '12GB', 'GDDR6']",komplett.no/img/p/800/1184990.jpg,komplett.no/product/1184990/datautstyr/pc-komponenter/skjermkort/xfx-radeon-rx-6700-xt-speedster-qick-319?productList=notSet&position=15,komplett,skjermkort
12,Sapphire Radeon RX 6600 PULSE,3490,4490.0,True,50,"['Skjermkort', 'PCI-E', '4.0', '8GB', 'GDDR6']",komplett.no/img/p/800/1196660.jpg,komplett.no/product/1196660/datautstyr/pc-komponenter/skjermkort/sapphire-radeon-rx-6600-pulse?productList=notSet&position=16,komplett,skjermkort
13,Gigabyte GeForce RTX 3080 Ti Gaming OC,15590,,,8,"['Skjermkort', 'PCI-Express', '4.0', '12GB', 'GDDR6X', 'Ampere']",komplett.no/img/p/800/1187631.jpg,komplett.no/product/1187631/datautstyr/pc-komponenter/skjermkort/gigabyte-geforce-rtx-3080-ti-gaming-oc?productList=notSet&position=18,komplett,skjermkort
14,MSI Radeon RX 6600 MECH 2X,4249,,,43,"['Skjermkort', 'PCI', 'Express', '4.0', 'x8', '8GB', 'GDDR6']",komplett.no/img/p/800/1197026.jpg,komplett.no/product/1197026/datautstyr/pc-komponenter/skjermkort/msi-radeon-rx-6600-mech-2x?productList=notSet&position=20,komplett,skjermkort
15,Gigabyte Radeon RX 6600 XT Gaming OC PRO,5999,,,1,"['Skjermkort', 'PCI-E', '4.0', 'x', '16', '8GB', 'GDDR6']",komplett.no/img/p/800/1192285.jpg,komplett.no/product/1192285/datautstyr/pc-komponenter/skjermkort/gigabyte-radeon-rx-6600-xt-gaming-oc-pro?productList=notSet&position=21,komplett,skjermkort
