,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Apple Watch Series 3 38mm GPS (stellargraa) Sport Band,2149,,,0,"['Smartklokke', '13""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'WiFi', 'reim', '(sort)']",komplett.no/img/p/800/1102354.jpg,komplett.no/product/1102354/mobiler-klokker/smartklokker/apple-watch-series-3-38mm-gps-stellargraa-sport-band?productList=notSet&position=1,komplett,smartklokker
1,Samsung Galaxy Watch 4 44mm GPS (black),2990,3589.0,True,20,"['Smartklokke', 'inkl.', 'Wireless', 'Charger', 'Duo', 'Watch']",komplett.no/img/p/800/1198632.jpg,komplett.no/product/1198632/mobiler-klokker/smartklokker/samsung-galaxy-watch-4-44mm-gps-black?productList=notSet&position=2,komplett,smartklokker
2,Huawei Watch GT 3 Elegant Edition 42mm GPS (hvit),2990,,,20,"['Pulsklokke', '143""', 'AMOLED', 'pulsmåling', 'GPS', 'BT', 'vanntett', '5ATM', '14', 'dagers', 'batteri']",komplett.no/img/p/800/1200769.jpg,komplett.no/product/1200769/mobiler-klokker/smartklokker/huawei-watch-gt-3-elegant-edition-42mm-gps-hvit?productList=notSet&position=3,komplett,smartklokker
3,Samsung Galaxy Watch 4 Classic 46mm GPS (black),3990,,,20,"['Smartklokke', '14""', 'sAMOLED', 'skjerm', 'GPS', 'Bluetooth', 'WiFi', 'IP68', '5ATM']",komplett.no/img/p/800/1190310.jpg,komplett.no/product/1190310/mobiler-klokker/smartklokker/samsung-galaxy-watch-4-classic-46mm-gps-black?productList=notSet&position=4,komplett,smartklokker
4,Samsung Galaxy Watch 4 40mm LTE (pink gold),3290,,,20,"['Smartklokke', '12""', 'sAMOLED', 'skjerm', 'GPS', 'Bluetooth', 'WiFi', '4G', '(eSIM)', 'IP68', '5ATM']",komplett.no/img/p/800/1190321.jpg,komplett.no/product/1190321/mobiler-klokker/smartklokker/samsung-galaxy-watch-4-40mm-lte-pink-gold?productList=notSet&position=5,komplett,smartklokker
5,Samsung Galaxy Watch 4 40mm GPS (black),2790,,,20,"['Smartklokke', '12""', 'sAMOLED', 'skjerm', 'GPS', 'Bluetooth', 'WiFi', 'IP68', '5ATM']",komplett.no/img/p/800/1190323.jpg,komplett.no/product/1190323/mobiler-klokker/smartklokker/samsung-galaxy-watch-4-40mm-gps-black?productList=notSet&position=6,komplett,smartklokker
6,Garmin Venu 2S 40mm GPS (lys gull/lys sand),3890,,,20,"['Pulsklokke', '11""', 'AMOLED', 'skjerm', 'GPS', 'BT', 'WiFi', 'vanntett', '5ATM', 'Spotify']",komplett.no/img/p/800/1176572.jpg,komplett.no/product/1176572/mobiler-klokker/smartklokker/garmin-venu-2s-40mm-gps-lys-gulllys-sand?productList=notSet&position=7,komplett,smartklokker
7,Apple Watch Series 3 42mm GPS (stellargraa) Sport Band,2399,,,0,"['Smartklokke', '15""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'WiFi', 'reim', '(sort)']",komplett.no/img/p/800/1102353.jpg,komplett.no/product/1102353/mobiler-klokker/smartklokker/apple-watch-series-3-42mm-gps-stellargraa-sport-band?productList=notSet&position=8,komplett,smartklokker
8,Fitbit Charge 5 36mm GPS (staal blaa/platina),1590,,,6,"['Pulsklokke', '1""', 'AMOLED', 'skjerm', 'GPS', 'Bluetooth', 'vanntett', '5ATM', 'Spotify', 'NFC']",komplett.no/img/p/800/1192396.jpg,komplett.no/product/1192396/mobiler-klokker/smartklokker/fitbit-charge-5-36mm-gps-staal-blaaplatina?productList=notSet&position=9,komplett,smartklokker
9,Xplora 5 Smartklokke for barn 4G (rosa),1590,1990.0,True,20,"['Mobilklokke', '14""', 'LCD', 'skjerm', 'GPS', 'eSIM', '2MP', 'kamera', 'IP68']",komplett.no/img/p/800/1176997.jpg,komplett.no/product/1176997/mobiler-klokker/smartklokker/xplora-5-smartklokke-for-barn-4g-rosa?productList=notSet&position=10,komplett,smartklokker
10,Garmin Forerunner 45S 39mm GPS (sort/hvit),1399,,,20,"['Pulsklokke', '1""', 'LCD', 'skjerm', 'GPS', 'BT', 'vanntett', '5ATM', 'Spotify']",komplett.no/img/p/800/1176574.jpg,komplett.no/product/1176574/mobiler-klokker/smartklokker/garmin-forerunner-45s-39mm-gps-sorthvit?productList=notSet&position=11,komplett,smartklokker
11,Garmin Forerunner 45 45mm GPS (sort),1690,,,20,"['Pulsklokke', '1""', 'LCD', 'skjerm', 'GPS', 'BT', 'vanntett', '5ATM', 'Spotify']",komplett.no/img/p/800/1176585.jpg,komplett.no/product/1176585/mobiler-klokker/smartklokker/garmin-forerunner-45-45mm-gps-sort?productList=notSet&position=12,komplett,smartklokker
12,Garmin Venu Sq 40mm GPS (lys gull/hvit),1990,,,20,"['Pulsklokke', '13""', 'LCD', 'skjerm', 'GPS', 'BT', 'WiFi', 'vanntett', '5ATM', 'Spotify', 'NFC']",komplett.no/img/p/800/1168444.jpg,komplett.no/product/1168444/mobiler-klokker/smartklokker/garmin-venu-sq-40mm-gps-lys-gullhvit?productList=notSet&position=13,komplett,smartklokker
13,Huawei Watch GT 3 sportsklokke 46mm Elite Edition,3290,,,10,"['1.43""', 'AMOLED', 'opptil', '14', 'dager', 'batteritid', 'pulsmåling', 'BT', 'GPS', 'vanntett', '(50', 'm)']",komplett.no/img/p/800/1200767.jpg,komplett.no/product/1200767/mobiler-klokker/smartklokker/huawei-watch-gt-3-sportsklokke-46mm-elite-edition?productList=notSet&position=14,komplett,smartklokker
14,Huawei Watch 3 Pro 48mm 4G (brunt lær),4490,,,20,"['Pulsklokke', '14""', 'AMOLED', 'skjerm', 'GPS', 'BT', '4G', 'WiFi', 'vanntett', '5ATM', 'Spotify', 'NFC']",komplett.no/img/p/800/1189177.jpg,komplett.no/product/1189177/mobiler-klokker/smartklokker/huawei-watch-3-pro-48mm-4g-brunt-laer?productList=notSet&position=15,komplett,smartklokker
15,Fitbit Luxe 36mm (sort/sort),1249,,,2,"['Pulsklokke', '07""', 'AMOLED', 'skjerm', 'Bluetooth', 'vanntett', '5ATM', 'Spotify']",komplett.no/img/p/800/1183626.jpg,komplett.no/product/1183626/mobiler-klokker/smartklokker/fitbit-luxe-36mm-sortsort?productList=notSet&position=16,komplett,smartklokker
16,Garmin Fenix 6S 42mm GPS (solv/sort),3990,,,20,"['Pulsklokke', '12""', 'LCD', 'skjerm', 'GPS', 'BT', 'vanntett', '10ATM']",komplett.no/img/p/800/1145464.jpg,komplett.no/product/1145464/mobiler-klokker/smartklokker/garmin-fenix-6s-42mm-gps-soelvsort?productList=notSet&position=17,komplett,smartklokker
17,Apple Watch Nike SE 44mm 4G (stellargraa) Sport Band,4049,,,20,"['Pulsklokke', '17""', 'OLED', 'Retina', 'GPS', 'BT', 'IP6X', '5ATM', 'eSIM', 'reim', '(antrasitt/sort)']",komplett.no/img/p/800/1196476.jpg,komplett.no/product/1196476/mobiler-klokker/smartklokker/apple-watch-nike-se-44mm-4g-stellargraa-sport-band?productList=notSet&position=18,komplett,smartklokker
18,Apple Watch Nike SE 44mm (stellargraa) Sport Band,3749,,,17,"['Pulsklokke', '17""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'eSIM', 'reim', '(antrasitt/sort)']",komplett.no/img/p/800/1196482.jpg,komplett.no/product/1196482/mobiler-klokker/smartklokker/apple-watch-nike-se-44mm-stellargraa-sport-band?productList=notSet&position=19,komplett,smartklokker
19,Apple Watch SE 44mm (solv) Sport Band,3499,,,20,"['Smartklokke', '17""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'WiFi', 'reim', '(havdypblå)']",komplett.no/img/p/800/1196483.jpg,komplett.no/product/1196483/mobiler-klokker/smartklokker/apple-watch-se-44mm-soelv-sport-band?productList=notSet&position=20,komplett,smartklokker
20,Apple Watch SE 44mm 4G (gull) Sport Band,3749,,,10,"['Smartklokke', '17""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'eSIM', 'reim', '(stjerneskinn)']",komplett.no/img/p/800/1196491.jpg,komplett.no/product/1196491/mobiler-klokker/smartklokker/apple-watch-se-44mm-4g-gull-sport-band?productList=notSet&position=21,komplett,smartklokker
21,Apple Watch Series 7 45mm 4G (solv) Sport Band,8990,,,4,"['Smartklokke', '19""', 'OLED', 'Retina', 'GPS', 'BT', 'IP6X', '5ATM', 'eSIM', 'reim', '(stjerneskinn)']",komplett.no/img/p/800/1197957.jpg,komplett.no/product/1197957/mobiler-klokker/smartklokker/apple-watch-series-7-45mm-4g-soelv-sport-band?productList=notSet&position=22,komplett,smartklokker
22,Apple Watch Series 7 41mm (blaa) Sport Band,4490,,,20,"['Smartklokke', '16""', 'OLED', 'Retina', 'GPS', 'BT', 'IP6X', '5ATM', 'WiFi', 'reim', '(havdypblå)']",komplett.no/img/p/800/1197962.jpg,komplett.no/product/1197962/mobiler-klokker/smartklokker/apple-watch-series-7-41mm-blaa-sport-band?productList=notSet&position=23,komplett,smartklokker
23,Apple Watch Nike SE 40mm 4G (stellargraa) Sport Band,3490,,,8,"['Pulsklokke', '15""', 'OLED', 'Retina', 'GPS', 'BT', '5ATM', 'eSIM', 'reim', '(antrasitt/sort)']",komplett.no/img/p/800/1196489.jpg,komplett.no/product/1196489/mobiler-klokker/smartklokker/apple-watch-nike-se-40mm-4g-stellargraa-sport-band?productList=notSet&position=24,komplett,smartklokker
