,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Logitech G923 Driving Force Racing,4199,,,0,"['force', 'feedback', 'd-pad', 'og', 'konsoll', 'knapper', 'ratt', 'og', 'pedaler', 'for', 'playstation', '4', 'pc']",komplett.no/img/p/800/1162743.jpg,komplett.no/product/1162743/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g923-driving-force-racing?productList=notSet&position=1,komplett,spillkontrollere
1,Svive Racing skjermstativ,1049,,,50,"['For', '32-50""', 'Maks', '30kg', 'height', 'adjustable']",komplett.no/img/p/800/1147001.jpg,komplett.no/product/1147001/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-skjermstativ?productList=notSet&position=2,komplett,spillkontrollere
2,Svive Racing girspakfeste,419,,,50,"['For', 'montering', 'på', 'Svive', 'Racing', 'simulator', 'racingsete']",komplett.no/img/p/800/1146997.jpg,komplett.no/product/1146997/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-girspakfeste?productList=notSet&position=3,komplett,spillkontrollere
3,Next Level Racing Wheel Stand DD,3419,,,0,"['For', 'Direct', 'Drive', 'Wheels']",komplett.no/img/p/800/1146614.jpg,komplett.no/product/1146614/gaming/gaming-utstyr/spillkontrollere/simulator/next-level-racing-wheel-stand-dd?productList=notSet&position=4,komplett,spillkontrollere
4,Playseat Evolution Gearshift Support,529,,,0,"['girholder', 'til', 'Logitech', 'G25', 'G27', 'G29', 'og', 'G920']",komplett.no/img/p/800/638572.jpg,komplett.no/product/638572/gaming/gaming-utstyr/spillkontrollere/simulator/playseat-evolution-gearshift-support?productList=notSet&position=5,komplett,spillkontrollere
5,Thrustmaster Pendular Rudder,6490,,,0,"['H.E.A.R.T', 'realistisk', 'og', 'justerbar', 'pc']",komplett.no/img/p/800/1119036.jpg,komplett.no/product/1119036/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-pendular-rudder?productList=notSet&position=6,komplett,spillkontrollere
6,Svive Racing skjermstativ,1249,1890.0,True,50,"['For', '32-50""', 'VESA', '400*200', 'Maks', '50kg', 'anti', 'theft', 'locking', 'hole']",komplett.no/img/p/800/1147002.jpg,komplett.no/product/1147002/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-skjermstativ?productList=notSet&position=7,komplett,spillkontrollere
7,Logitech G923 og Driving Force Shifter Bundle,5390,,,0,"['Xbox', 'one', '/', 'PC']",komplett.no/img/p/800/1182285.jpg,komplett.no/product/1182285/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g923-og-driving-force-shifter-bundle?productList=notSet&position=8,komplett,spillkontrollere
8,Thrustmaster Open Wheel Add On WW,1890,,,0,"['Realistisk', 'kompakt', 'størrelse']",komplett.no/img/p/800/1163682.jpg,komplett.no/product/1163682/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-open-wheel-add-on-ww?productList=notSet&position=9,komplett,spillkontrollere
9,Playseat Gulvmatte,629,,,0,"['beskytter', 'mot', 'riper', 'gummi', 'underlag', 'for', 'ekstra', 'beskyttelse', '140cm', 'lengde', '55cm', 'b']",komplett.no/img/p/800/419873.jpg,komplett.no/product/419873/gaming/gaming-utstyr/spillkontrollere/simulator/playseat-gulvmatte?productList=notSet&position=10,komplett,spillkontrollere
10,Logitech G PRO Flight Throttle Quadrant,749,,,0,"['tre', 'spaker', 'for', 'å', 'styre', 'enda', 'flere', 'engines', 'flaps', 'gear', 'spoilers']",komplett.no/img/p/800/904029.jpg,komplett.no/product/904029/gaming/gaming-utstyr/spillkontrollere/simulator/logitech-g-pro-flight-throttle-quadrant?productList=notSet&position=11,komplett,spillkontrollere
11,Thrustmaster ferrari SF1000 ratt add-on,4729,,,0,"['1:1', 'Replica', 'av', '2020/2021', 'Ferrari', 'racing', 'ratt']",komplett.no/img/p/800/1185099.jpg,komplett.no/product/1185099/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-ferrari-sf1000-ratt-add-on?productList=notSet&position=12,komplett,spillkontrollere
12,Svive Racing D2 Simulator Cockpit,4249,,,50,"['God', 'komfort', 'og', 'et', 'sømløst', 'justeringssystem']",komplett.no/img/p/800/1146996.jpg,komplett.no/product/1146996/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-d2-simulator-cockpit?productList=notSet&position=13,komplett,spillkontrollere
13,Thrustmaster TCA Quadrant Airbus Edition,1395,,,15,"['Gasspedal', 'kablet', 'H.E.A.R.T', 'pc']",komplett.no/img/p/800/1165446.jpg,komplett.no/product/1165446/gaming/gaming-utstyr/spillkontrollere/simulator/thrustmaster-tca-quadrant-airbus-edition?productList=notSet&position=14,komplett,spillkontrollere
14,Logitech G Pro Flight Radio Panel,1299,,,16,"['fire', 'led', 'skjermer', 'angi', 'en', 'rekke', 'kommunikasjon', 'eller', 'navigasjonsfunksjoner']",komplett.no/img/p/800/904031.jpg,komplett.no/product/904031/gaming/gaming-utstyr/spillkontrollere/simulator/logitech-g-pro-flight-radio-panel?productList=notSet&position=15,komplett,spillkontrollere
15,Thrustmaster T16000M FCS HOTAS Joystick,1995,,,0,"['Intuitivt', 'og', 'naturlig:', 'føles', 'akkurat', 'som', 'å', 'sitte', 'i', 'cockpiten!']",komplett.no/img/p/800/1163673.jpg,komplett.no/product/1163673/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-t16000m-fcs-hotas-joystick?productList=notSet&position=16,komplett,spillkontrollere
16,Thrustmaster Flight Stick X,599,,,3,"['Justerbar', 'motstand', '12', 'knapper', 'og', '4', 'akser', 'alle', 'programmerbare']",komplett.no/img/p/800/649017.jpg,komplett.no/product/649017/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-flight-stick-x?productList=notSet&position=17,komplett,spillkontrollere
17,Logitech G923 Driving Force Racing,4199,,,0,"['force', 'feedback', 'd-pad', 'og', 'konsoll', 'knapper', 'ratt', 'og', 'pedaler', 'for', 'xbox', 'one', 'pc']",komplett.no/img/p/800/1162744.jpg,komplett.no/product/1162744/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g923-driving-force-racing?productList=notSet&position=18,komplett,spillkontrollere
18,Logitech G Pro Flight Multi Panel,1099,,,4,"['forenklet', 'autopilot', 'kontroller', 'for', 'auto', 'throttle', 'flaps', 'og', 'pitch', 'trim']",komplett.no/img/p/800/904030.jpg,komplett.no/product/904030/gaming/gaming-utstyr/spillkontrollere/simulator/logitech-g-pro-flight-multi-panel?productList=notSet&position=19,komplett,spillkontrollere
19,Thrustmaster TCA Officer Pack Airbus Edition,2295,,,10,"['Joystick', 'og', 'gasspedal', 'kablet', 'H.E.A.R.T', 'pc']",komplett.no/img/p/800/1165445.jpg,komplett.no/product/1165445/gaming/gaming-utstyr/spillkontrollere/simulator/thrustmaster-tca-officer-pack-airbus-edition?productList=notSet&position=20,komplett,spillkontrollere
20,Next Level Racing Gulvmatte,529,,,7,"['Floor', 'mat', 'for', 'protection', 'of', 'The', 'Wheel', 'Stand', '/', 'Cockpit']",komplett.no/img/p/800/903476.jpg,komplett.no/product/903476/gaming/gaming-utstyr/spillkontrollere/simulator/next-level-racing-gulvmatte?productList=notSet&position=21,komplett,spillkontrollere
21,Logitech G923 og Driving Force Shifter Bundle,5390,,,0,"['PS4', '/', 'PC']",komplett.no/img/p/800/1182286.jpg,komplett.no/product/1182286/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g923-og-driving-force-shifter-bundle?productList=notSet&position=22,komplett,spillkontrollere
22,Logitech G X52 Flight Control System,1899,,,7,"['inkludert:', 'X52', 'stick', 'X52', 'throttle']",komplett.no/img/p/800/904026.jpg,komplett.no/product/904026/gaming/gaming-utstyr/spillkontrollere/joystick/logitech-g-x52-flight-control-system?productList=notSet&position=23,komplett,spillkontrollere
23,Thrustmaster Flight Hotas 4,999,,,50,"['realistisk', 'og', 'ergonomisk', 'joystick', 'avtakbar', 'gasspjeld', 'dobbel', 'rorsystem', 'pc/ps4']",komplett.no/img/p/800/852520.jpg,komplett.no/product/852520/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-flight-hotas-4?productList=notSet&position=24,komplett,spillkontrollere
24,Logitech G Pro Flight Instrument Panel,1599,,,15,"['15', 'forskjellige', 'avlesninger', 'i', 'en', 'kompakt', 'boks']",komplett.no/img/p/800/904036.jpg,komplett.no/product/904036/gaming/gaming-utstyr/spillkontrollere/simulator/logitech-g-pro-flight-instrument-panel?productList=notSet&position=25,komplett,spillkontrollere
25,Logitech G Pro Yoke Flight System,1699,,,4,"['inkludert:', 'pro', 'flight', 'yoke', '+', 'pro', 'flight', 'throttle', 'quadrant']",komplett.no/img/p/800/904038.jpg,komplett.no/product/904038/gaming/gaming-utstyr/spillkontrollere/simulator/logitech-g-pro-yoke-flight-system?productList=notSet&position=26,komplett,spillkontrollere
26,Thrustmaster Flight Hotas X Flightstick,939,,,50,"['realistisk', 'og', 'ergonomisk', 'joystick', 'avtakbar', 'gasspjeld', 'dobbel', 'rorsystem', 'pc/ps3']",komplett.no/img/p/800/649016.jpg,komplett.no/product/649016/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-flight-hotas-x-flightstick?productList=notSet&position=27,komplett,spillkontrollere
27,Logitech G X52 Pro Flight Control System,2399,,,8,"['inkludert:', 'X52', 'pro', 'stick', 'X52', 'pro', 'throttle']",komplett.no/img/p/800/904027.jpg,komplett.no/product/904027/gaming/gaming-utstyr/spillkontrollere/joystick/logitech-g-x52-pro-flight-control-system?productList=notSet&position=28,komplett,spillkontrollere
28,Thrustmaster TH8A Shifter,2499,,,6,"['high', 'end', 'girkasse', 'pc', 'ps3', 'ps4', 'og', 'xbox', 'one']",komplett.no/img/p/800/824827.jpg,komplett.no/product/824827/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-th8a-shifter?productList=notSet&position=29,komplett,spillkontrollere
29,Thrustmaster Hotas Warthog Flightstick,4999,,,2,"['avtakbart', 'håndtak', 'USB', 'super', 'stabil', 'replica', 'form', 'A-10C', 'pc']",komplett.no/img/p/800/649014.jpg,komplett.no/product/649014/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-hotas-warthog-flightstick?productList=notSet&position=30,komplett,spillkontrollere
30,Thrustmaster 16000M Flightstick FCS,789,,,50,"['16', 'action', 'knapper', 'vektet', 'plug', 'and', 'play', 'pc']",komplett.no/img/p/800/649015.jpg,komplett.no/product/649015/gaming/gaming-utstyr/spillkontrollere/joystick/thrustmaster-16000m-flightstick-fcs?productList=notSet&position=31,komplett,spillkontrollere
31,Logitech G Farm Sim Controller,2899,,,39,"['ratt', 'analoge', 'spaker', 'pedaler', 'kontrollpanel', '37', 'programmerbare', 'knapper', 'pc']",komplett.no/img/p/800/904040.jpg,komplett.no/product/904040/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g-farm-sim-controller?productList=notSet&position=32,komplett,spillkontrollere
32,Logitech Driving Force Shifter,649,,,50,"['Girspak', 'for', 'racerrattene', 'G29', 'G920', 'G923']",komplett.no/img/p/800/848800.jpg,komplett.no/product/848800/gaming/tilbehoer-til-spillkonsoller/logitech-driving-force-shifter?productList=notSet&position=33,komplett,spillkontrollere
33,Svive Racing trippel skjermfeste,1149,1690.0,True,50,"['For', '24-32""', 'VESA', '200', '*200', 'Maks', '10kg', 'anti', 'theft', 'locking', 'hole']",komplett.no/img/p/800/1146999.jpg,komplett.no/product/1146999/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-trippel-skjermfeste?productList=notSet&position=34,komplett,spillkontrollere
34,Svive Racing trippel skjermstativ,1999,,,50,"['For', '24-32""', 'VESA', '200*200', 'Maks', '10kg', 'anti', 'theft', 'locking', 'hole']",komplett.no/img/p/800/1147000.jpg,komplett.no/product/1147000/gaming/gaming-utstyr/spillkontrollere/simulator/svive-racing-trippel-skjermstativ?productList=notSet&position=35,komplett,spillkontrollere
35,Logitech G920 Driving Force Racing,4399,,,50,"['force', 'feedback', 'd-pad', 'og', 'konsoll', 'knapper', 'ratt', 'og', 'pedaler', 'for', 'xbox', 'one', 'pc']",komplett.no/img/p/800/848799.jpg,komplett.no/product/848799/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/logitech-g920-driving-force-racing?productList=notSet&position=36,komplett,spillkontrollere
36,Logitech Traadlost Gamepad F710,539,,,40,"['nano-mottaker', 'vibrasjonsfeedback', '10', 'programmebare', 'knapper', 'spillkontroller', 'pc']",komplett.no/img/p/800/775766.jpg,komplett.no/product/775766/gaming/gaming-utstyr/spillkontrollere/gamepad/logitech-traadloest-gamepad-f710?productList=notSet&position=37,komplett,spillkontrollere
37,Next Level Racing Motion Platform,74990,,,0,"['Inneholder:', 'Centre', 'Front', 'og', 'Rear']",komplett.no/img/p/800/1146791.jpg,komplett.no/product/1146791/gaming/gaming-utstyr/spillkontrollere/simulator/next-level-racing-motion-platform?productList=notSet&position=38,komplett,spillkontrollere
38,Logitech G29 Driving Force Racing,4399,,,50,"['Racing-ratt', 'for', 'en', 'realistisk', 'kjøreopplevelse', 'til', 'PS3', 'PS4', 'PS5', 'og', 'PC']",komplett.no/img/p/800/848798.jpg,komplett.no/product/848798/gaming/tilbehoer-til-spillkonsoller/logitech-g29-driving-force-racing?productList=notSet&position=39,komplett,spillkontrollere
39,Thrustmaster T-Pedals Stand,990,,,2,"['Kompatibel', 'med', 'de', 'fleste', 'Thrustmaster', 'pedalsett', '(for', 'multiplatform', 'bruk)']",komplett.no/img/p/800/1163703.jpg,komplett.no/product/1163703/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-t-pedals-stand?productList=notSet&position=40,komplett,spillkontrollere
40,Thrustmaster T-248 Xbox Series X/S,8399,,,7,"['realistisk', 'motstand', 'd', 'pad', 'konsoll', 'knapper', 'ratt', 'og', 'pedaler', 'for', 'xbox']",komplett.no/img/p/800/1200334.jpg,komplett.no/product/1200334/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-t-248-xbox-series-xs?productList=notSet&position=41,komplett,spillkontrollere
41,NITHO Gamingratt Drive Pro,1319,,,7,"['PS4', 'PS3', 'SWITCH', 'PC']",komplett.no/img/p/800/1185394.jpg,komplett.no/product/1185394/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/nitho-gamingratt-drive-pro?productList=notSet&position=42,komplett,spillkontrollere
42,NITHO Gamingratt Drive Pro V16,2099,,,4,"['PS4', 'PS3', 'SWITCH', 'PC']",komplett.no/img/p/800/1185401.jpg,komplett.no/product/1185401/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/nitho-gamingratt-drive-pro-v16?productList=notSet&position=43,komplett,spillkontrollere
43,Thrustmaster T-248 PS5/PS4,4995,,,10,"['realistisk', 'motstand', 'd', 'pad', 'konsoll', 'knapper', 'ratt', 'og', 'pedaler', 'for', 'PS4/PS5']",komplett.no/img/p/800/1200335.jpg,komplett.no/product/1200335/gaming/gaming-utstyr/spillkontrollere/ratt-og-pedaler/thrustmaster-t-248-ps5ps4?productList=notSet&position=44,komplett,spillkontrollere
44,Thrustmaster TCA Sidestick Airbus Edition,959,,,50,"['Joystick', 'kablet', 'H.E.A.R.T', 'pc']",komplett.no/img/p/800/1165444.jpg,komplett.no/product/1165444/gaming/gaming-utstyr/spillkontrollere/simulator/thrustmaster-tca-sidestick-airbus-edition?productList=notSet&position=45,komplett,spillkontrollere
