,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Gorenje BO6717E03X Innebygd ovn,4999,,,6,"['60cm', 'Stainless', 'Steel', 'A', '77L', 'ovn', 'Varmluft', 'AquaClean', 'AirFry', 'Pizzaprogram']",komplett.no/img/p/800/1200627.jpg,komplett.no/product/1200627/hvitevarer/stekeovner/gorenje-bo6717e03x-innebygd-ovn?productList=notSet&position=1,komplett,stekeovner
1,Bosch HBA530BB0S innbyggingsovn (sort),4990,,,0,"['71', 'L', '4', 'stekefunksjoner', '3D', 'HotAir', 'Plus']",komplett.no/img/p/800/1123335.jpg,komplett.no/product/1123335/hvitevarer/stekeovner/bosch-hba530bb0s-innbyggingsovn-sort?productList=notSet&position=2,komplett,stekeovner
2,Gorenje BPS6747A06BG innebygd ovn,5990,6490.0,True,10,"['60cm', 'Black', 'glass', 'A+', '77L', 'ovn', 'Pyrolytisk', 'AirFry', 'ExtraSteam']",komplett.no/img/p/800/1200629.jpg,komplett.no/product/1200629/hvitevarer/stekeovner/gorenje-bps6747a06bg-innebygd-ovn?productList=notSet&position=3,komplett,stekeovner
3,Beko BBIE12300XP Innebygd ovn (inox),3990,6490.0,True,10,"['60', 'cm', '72', 'L', 'Pyrolyse', 'LED', 'Display', '-', 'Touchcontrol']",komplett.no/img/p/800/1202599.jpg,komplett.no/product/1202599/hvitevarer/stekeovner/beko-bbie12300xp-innebygd-ovn-inox?productList=notSet&position=4,komplett,stekeovner
4,Gorenje Innbyggingsovn BO6717E03W (hvit),3990,,,2,"['Innbyggingsovn', 'AirFry', '77', 'ltr.', 'Mål', '(BxHxD):', '595', '×', '595', '×', '564', 'cm']",komplett.no/img/p/800/1207212.jpg,komplett.no/product/1207212/hvitevarer/stekeovner/gorenje-innbyggingsovn-bo6717e03w-hvit?productList=notSet&position=5,komplett,stekeovner
5,Gorenje BSA6747A04BG Innebygget Ovn,7490,,,10,"['60cm', 'Svart', 'glass', 'A+', '77L', 'ovn', 'Combi', 'Steam', 'Ovn', 'AquaClean', 'AirFry']",komplett.no/img/p/800/1200630.jpg,komplett.no/product/1200630/hvitevarer/stekeovner/gorenje-bsa6747a04bg-innebygget-ovn?productList=notSet&position=6,komplett,stekeovner
6,Gorenje BPS6737E07B Innebygd pyrolyseovn,6329,,,10,"['60cm', 'matt', 'svart', 'A+', '77L', 'ovn', 'Pyrolytisk', 'Hotair', 'AirFry', 'ExtraSteam']",komplett.no/img/p/800/1200631.jpg,komplett.no/product/1200631/hvitevarer/stekeovner/gorenje-bps6737e07b-innebygd-pyrolyseovn?productList=notSet&position=7,komplett,stekeovner
7,Gorenje BOS6737E13X Innebygd ovn,5490,,,4,"['60cm', 'Stainless', 'Steel', 'A', '77L', 'ovn', 'AquaClean', 'Varmluft', 'AirFry', 'ExtraSteam']",komplett.no/img/p/800/1200628.jpg,komplett.no/product/1200628/hvitevarer/stekeovner/gorenje-bos6737e13x-innebygd-ovn?productList=notSet&position=8,komplett,stekeovner
8,Bosch HBA533BS0S innbyggingsovn (staal),5490,,,3,"['71', 'L', '5', 'stekefunksjoner', '3D', 'HotAir', 'Plus']",komplett.no/img/p/800/1123312.jpg,komplett.no/product/1123312/hvitevarer/stekeovner/bosch-hba533bs0s-innbyggingsovn-staal?productList=notSet&position=9,komplett,stekeovner
9,Bosch HRG675BS1S Innbyggingsovn (staal),12390,,,3,"['A+', '4D-varmluft', 'AutoPilot', '20', 'Pyrolyse', 'TFT-display', '71', 'L']",komplett.no/img/p/800/979576.jpg,komplett.no/product/979576/hvitevarer/stekeovner/bosch-hrg675bs1s-innbyggingsovn-staal?productList=notSet&position=10,komplett,stekeovner
10,Gorenje BOP747A13XG Pyrolyse innebygd ovn (staal),6490,7990.0,True,10,"['60cm', 'FTF', 'Rustfritt', 'stål', '/', 'svart', 'glass', 'A', '+', '70L', 'ovn', 'Pyrolyse', 'rengjøring']",komplett.no/img/p/800/1171295.jpg,komplett.no/product/1171295/hvitevarer/stekeovner/gorenje-bop747a13xg-pyrolyse-innebygd-ovn-staal?productList=notSet&position=11,komplett,stekeovner
