,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Roborock S7 MaxV (sort),7995,,,50,"['ReactiveAI', 'App/stemme', 'kontroll', '180', 'min', 'batteritid', 'opp', 'til', '300㎡']",komplett.no/img/p/800/1211590.jpg,komplett.no/product/1211590/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-s7-maxv-sort?productList=notSet&position=1,komplett,stoevsugere_rengjoering
1,Roborock E5 (sort),2378,,,17,"['OpticEye™', 'Fjernkontroll', 'App', 'over', '3', 'timer', 'batteritid']",komplett.no/img/p/800/1193811.jpg,komplett.no/product/1193811/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-e5-sort?productList=notSet&position=2,komplett,stoevsugere_rengjoering
2,Roborock S7 MaxV Plus (sort),9995,,,50,"['Videosamtale', 'i', 'sanntid', '5100', 'Ph', '3D-kartlegging']",komplett.no/img/p/800/1211591.jpg,komplett.no/product/1211591/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-s7-maxv-plus-sort?productList=notSet&position=3,komplett,stoevsugere_rengjoering
3,Roborock S7 (sort),4979,,,35,"['Svart', '965', 'cm', 'høy', 'kontrollert', 'via', 'app', '300', 'm²batterilevetid', 'på', 'opptil', '3', 'timer']",komplett.no/img/p/800/1185744.jpg,komplett.no/product/1185744/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-s7-sort?productList=notSet&position=4,komplett,stoevsugere_rengjoering
4,Roborock Dyad Stov og Gulvvasker,4890,,,3,"['Få', 'vått', 'og', 'tørt', 'smuss', 'til', 'å', 'forsvinne', 'med', 'DyadPower', '35', 'min', 'driftstid']",komplett.no/img/p/800/1206473.jpg,komplett.no/product/1206473/hjem-fritid/stoevsugere-rengjoering/gulvvasker-gulvrengjoering/roborock-dyad-stoev-og-gulvvasker?productList=notSet&position=5,komplett,stoevsugere_rengjoering
5,Dyson V10 Absolute Traadlos stovsuger,4990,,,50,"['Inntil', '60', 'min', 'driftstid', '076L', 'beholder', '35t', 'ladetid', '268', 'kg', '150', 'Watt']",komplett.no/img/p/800/1186382.jpg,komplett.no/product/1186382/hjem-fritid/stoevsugere-rengjoering/haandstoevsugere/dyson-v10-absolute-traadloes-stoevsuger?productList=notSet&position=6,komplett,stoevsugere_rengjoering
6,Ecovacs Deebot T9 Aivi (sort) med tommestasjon,10990,,,26,"['Med', 'ny', 'intelligens', 'nye', 'funksjoner', 'og', 'AeroForce®', 'børster', 'blir', 'rengjøring', 'en', 'lek']",komplett.no/img/p/800/1207040.jpg,komplett.no/product/1207040/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/ecovacs-deebot-t9-aivi-sort-med-toemmestasjon?productList=notSet&position=7,komplett,stoevsugere_rengjoering
7,Ecovacs Deebot T9 (hvit) med tommestasjon,7595,,,15,"['Høyeffektiv', 'presisjonsrengjøring', 'med', 'optimal', 'rengjøringsrute', 'og', 'luftfrisker']",komplett.no/img/p/800/1207041.jpg,komplett.no/product/1207041/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/ecovacs-deebot-t9-hvit-med-toemmestasjon?productList=notSet&position=8,komplett,stoevsugere_rengjoering
8,Roborock Q7 Max+ (sort),6790,,,29,"['3D-kartlegging', 'PreciSense', 'LiDAR-system', '3t', 'batteritid', 'Auto-Empty', 'Dock']",komplett.no/img/p/800/1213359.jpg,komplett.no/product/1213359/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-q7-max-sort?productList=notSet&position=9,komplett,stoevsugere_rengjoering
9,Roborock Q7 Max+ (hvit),6790,,,28,"['3D-kartlegging', 'PreciSense', 'LiDAR-system', '3t', 'batteritid', 'Auto-Empty', 'Dock']",komplett.no/img/p/800/1213360.jpg,komplett.no/product/1213360/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-q7-max-hvit?productList=notSet&position=10,komplett,stoevsugere_rengjoering
10,Roborock Q7 Max (sort),4890,,,28,"['3D-kartlegging', 'PreciSense', 'LiDAR-system', 'støvsug', 'og', 'mopp', 'samtidig', '3t', 'batteritid']",komplett.no/img/p/800/1213361.jpg,komplett.no/product/1213361/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-q7-max-sort?productList=notSet&position=11,komplett,stoevsugere_rengjoering
11,Roborock Q7 Max (hvit),4890,,,27,"['3D-kartlegging', 'PreciSense', 'LiDAR-system', 'støvsug', 'og', 'mopp', 'samtidig', '3t', 'batteritid']",komplett.no/img/p/800/1213362.jpg,komplett.no/product/1213362/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/roborock-q7-max-hvit?productList=notSet&position=12,komplett,stoevsugere_rengjoering
12,Ecovacs Deebot N8+ (hvit),4749,,,50,"['Kraftig', 'støvsuge/vaske', 'robot', 'med', 'automatisk', 'tømmestasjon', 'pålitelig', 'rengjøring']",komplett.no/img/p/800/1206711.jpg,komplett.no/product/1206711/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/ecovacs-deebot-n8-hvit?productList=notSet&position=13,komplett,stoevsugere_rengjoering
13,Ecovacs Deebot T9 Aivi (sort),5889,,,50,"['Med', 'ny', 'intelligens', 'nye', 'funksjoner', 'og', 'AeroForce®', 'børster', 'blir', 'rengjøring', 'en', 'lek']",komplett.no/img/p/800/1206714.jpg,komplett.no/product/1206714/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/ecovacs-deebot-t9-aivi-sort?productList=notSet&position=14,komplett,stoevsugere_rengjoering
