,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Corsair RM750x 750W PSU,999,1290.0,True,50,"['ATX12V', 'v2.4', '80', 'PLUS', 'Gold', 'Fully', 'Modular']",komplett.no/img/p/800/1197103.jpg,komplett.no/product/1197103/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-rm750x-750w-psu?productList=notSet&position=1,komplett,stroemforsyning
1,Corsair RM750 750W PSU (sort),1249,,,50,"['ATX12V', 'v2.4', '80', 'PLUS', 'Gold', 'Fully', 'Modular', '2x6', 'PIn', 'PCIe']",komplett.no/img/p/800/1197110.jpg,komplett.no/product/1197110/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-rm750-750w-psu-sort?productList=notSet&position=2,komplett,stroemforsyning
2,"NZXT C650, 650W Gold PSU",1099,,,7,"['ATX', '12V', '2x', '4x4', 'CPU', '4x', '6+2pin', '8x', 'SATA']",komplett.no/img/p/800/1165524.jpg,komplett.no/product/1165524/datautstyr/pc-komponenter/stroemforsyning/enheter/nzxt-c650-650w-gold-psu?productList=notSet&position=3,komplett,stroemforsyning
3,"Corsair HX850, 850W PSU",1999,,,13,"['ATX', '12V', 'V2.4', '80', 'PLUS', 'Platinum', 'Modular', '5x', '6+2-pin', 'PCIe', '12x', 'SATA', '8x', 'Molex']",komplett.no/img/p/800/919619.jpg,komplett.no/product/919619/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-hx850-850w-psu?productList=notSet&position=4,komplett,stroemforsyning
4,Cooler Master MWE Bronze 450 230V V2,599,,,50,"['450W', 'V2', '230V', '/', '80Plus', 'Bronze', '/', '120mm', 'fan', '/', 'DC-DC', '+', 'LLC', '/', 'EU', 'C']",komplett.no/img/p/800/1187698.jpg,komplett.no/product/1187698/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-bronze-450-230v-v2?productList=notSet&position=5,komplett,stroemforsyning
5,"MSI MPG A750GF, 750W PSU",1499,,,2,"['ATX', '12V', '80', 'PLUS', 'GOLD', 'Fully-Modular']",komplett.no/img/p/800/1171791.jpg,komplett.no/product/1171791/datautstyr/pc-komponenter/stroemforsyning/enheter/msi-mpg-a750gf-750w-psu?productList=notSet&position=6,komplett,stroemforsyning
6,"NZXT C750, 750W Gold PSU",1199,,,0,"['ATX', '12V', '2x', '4x4', 'CPU', '4x', '6+2pin', '8x', 'SATA']",komplett.no/img/p/800/1165523.jpg,komplett.no/product/1165523/datautstyr/pc-komponenter/stroemforsyning/enheter/nzxt-c750-750w-gold-psu?productList=notSet&position=7,komplett,stroemforsyning
7,Cooler Master MWE Bronze 750 230V V2,759,,,34,"['750W', 'V2', '230V', '/', '80Plus', 'Bronze', '/', '120mm', 'fan', '/', 'DC-DC', '+', 'LLC', '/', 'EU', 'C']",komplett.no/img/p/800/1187691.jpg,komplett.no/product/1187691/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-bronze-750-230v-v2?productList=notSet&position=8,komplett,stroemforsyning
8,Corsair RM850 850W PSU Hvit,1369,,,2,"['ATX12V', 'v2.4', '80', 'PLUS', 'Gold', 'Fully', 'Modular', '2x6', 'PIn', 'PCIe']",komplett.no/img/p/800/1197112.jpg,komplett.no/product/1197112/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-rm850-850w-psu-hvit?productList=notSet&position=9,komplett,stroemforsyning
9,"Corsair CV450, 450W PSU",469,,,8,"['ATX', '12V', 'V2.4', '80', 'Plus', '1x', '4+4', 'CPU', '2x', '6+2pin', 'PCIe', '2x', 'SATA']",komplett.no/img/p/800/1151447.jpg,komplett.no/product/1151447/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-cv450-450w-psu?productList=notSet&position=10,komplett,stroemforsyning
