,name,price_now,price_before,sale,available,stats,image,link,site,category
0,LG K0RV908N1W9 Torketrommel (hvit),7990,8990.0,True,1,"['8KG', 'Wifi', 'Varmepumpe', 'Automatisk', 'tørketid']",komplett.no/img/p/800/1164030.jpg,komplett.no/product/1164030/hvitevarer/toerketromler/lg-k0rv908n1w9-toerketrommel-hvit?productList=notSet&position=1,komplett,toerketromler
1,Bosch WTW85T9SSN Torketrommel (hvit),6490,8999.0,True,10,"['Serie', '6', '9kg', 'Selvrensende']",komplett.no/img/p/800/1182326.jpg,komplett.no/product/1182326/hvitevarer/toerketromler/bosch-wtw85t9ssn-toerketrommel-hvit?productList=notSet&position=2,komplett,toerketromler
2,Beko DS9426CX Torketrommel (hvit),6999,,,10,"['Varmepumpe', '9', 'kg', '85x60x60cm', 'OptiSense®', 'EcoGentle™', 'AquaWave®']",komplett.no/img/p/800/1202574.jpg,komplett.no/product/1202574/hvitevarer/toerketromler/beko-ds9426cx-toerketrommel-hvit?productList=notSet&position=3,komplett,toerketromler
3,LG F0RV308N1WD Torketrommel (hvit),6590,7799.0,True,10,"['8kg', 'Varmepumpe', 'Wifi', 'Automatisk', 'tørketid']",komplett.no/img/p/800/1164026.jpg,komplett.no/product/1164026/hvitevarer/toerketromler/lg-f0rv308n1wd-toerketrommel-hvit?productList=notSet&position=4,komplett,toerketromler
4,Bosch WTH85VS8SN Torketrommel (hvit),9999,,,10,"['Serie', '4', '8kg', 'EasyClean', 'AutoDry', 'Varmepumpe']",komplett.no/img/p/800/1182322.jpg,komplett.no/product/1182322/hvitevarer/toerketromler/bosch-wth85vs8sn-toerketrommel-hvit?productList=notSet&position=5,komplett,toerketromler
5,Bosch WTW85L48SN torketrommel (hvit),6846,,,10,"['8kg', 'A++', '64', 'dB', 'SelfCleaning', 'Condenser', 'Stort', 'LED-display']",komplett.no/img/p/800/1119842.jpg,komplett.no/product/1119842/hvitevarer/toerketromler/bosch-wtw85l48sn-toerketrommel-hvit?productList=notSet&position=6,komplett,toerketromler
6,Bosch WTH8307LSN Torketrommel (hvit),4990,,,0,"['Serie', '4', '7kg', 'Sensitive', 'Drying', 'Anti', 'vibration', 'AutoDry', 'Selvrensende']",komplett.no/img/p/800/1174095.jpg,komplett.no/product/1174095/hvitevarer/toerketromler/bosch-wth8307lsn-toerketrommel-hvit?productList=notSet&position=7,komplett,toerketromler
7,Gorenje DE7B Kondenstorketrommel (hvit),5390,,,1,"['Kondenstørketrommel', '16', 'programmer', '7kg']",komplett.no/img/p/800/1125546.jpg,komplett.no/product/1125546/hvitevarer/toerketromler/gorenje-de7b-kondenstoerketrommel-hvit?productList=notSet&position=8,komplett,toerketromler
8,"Miele TSD263WP Torketrommel, 8kg (hvit)",10990,13999.0,True,4,"['Varmepumpe', '8kg', 'PerfectDry', 'EcoDry-teknologi']",komplett.no/img/p/800/1197115.jpg,komplett.no/product/1197115/hvitevarer/toerketromler/miele-tsd263wp-toerketrommel-8kg-hvit?productList=notSet&position=9,komplett,toerketromler
9,"Miele TSC563WP EcoSpeed Torketrommel, 8kg (hvit)",9990,11990.0,True,4,"['Varmepumpe', '8kg', 'EcoSpeed', 'PerfectDry', 'EcoDry-teknologi']",komplett.no/img/p/800/1197116.jpg,komplett.no/product/1197116/hvitevarer/toerketromler/miele-tsc563wp-ecospeed-toerketrommel-8kg-hvit?productList=notSet&position=10,komplett,toerketromler
10,Bosch WTR86T9SSN Torketrommel (hvit),8790,,,10,"['Serie', '6', '9kg', 'AniVibration', 'Sensitive', 'Drying']",komplett.no/img/p/800/1182321.jpg,komplett.no/product/1182321/hvitevarer/toerketromler/bosch-wtr86t9ssn-toerketrommel-hvit?productList=notSet&position=11,komplett,toerketromler
11,Beko DU 7112 RA0W Torketrommel (hvit),2999,,,10,"['Kondensator', '7', 'kg', '65', 'dBA', 'OptiSense®', 'AquaWave®']",komplett.no/img/p/800/1202575.jpg,komplett.no/product/1202575/hvitevarer/toerketromler/beko-du-7112-ra0w-toerketrommel-hvit?productList=notSet&position=12,komplett,toerketromler
12,Gorenje DE82ILB/G kondenstorketrommel (sort),8490,,,7,"['8kg', 'Varmepumpe', '16', 'program', 'IonTech']",komplett.no/img/p/800/1136783.jpg,komplett.no/product/1136783/hvitevarer/toerketromler/gorenje-de82ilbg-kondenstoerketrommel-sort?productList=notSet&position=13,komplett,toerketromler
13,Beko DS 8312 PX Torketrommel (hvit),4990,,,10,"['Varmepumpe', '8', 'kg', 'EcoGentle™', 'AquaWave®']",komplett.no/img/p/800/1202584.jpg,komplett.no/product/1202584/hvitevarer/toerketromler/beko-ds-8312-px-toerketrommel-hvit?productList=notSet&position=14,komplett,toerketromler
14,Miele TSF763 WP EcoSpeed Torketrommel (hvit),15499,,,0,"['Varmepumpe', '8kg', 'DryCare', '40', 'EcoDry-teknologi']",komplett.no/img/p/800/1197118.jpg,komplett.no/product/1197118/hvitevarer/toerketromler/miele-tsf763-wp-ecospeed-toerketrommel-hvit?productList=notSet&position=15,komplett,toerketromler
15,ASKO Proff Torkeskap DC7784V.W (hvit),9999,,,0,"['Tørkeskap', 'ventilert', '184x595cm', '4kg/16m', 'snor', '2000W', 'LCD', 'Sensor', '8', 'prg']",komplett.no/img/p/800/1154034.jpg,komplett.no/product/1154034/hvitevarer/toerketromler/asko-proff-toerkeskap-dc7784vw-hvit?productList=notSet&position=16,komplett,toerketromler
16,ASKO Torketrommel T208H.W (hvit),10999,,,0,"['8kg', 'Kondenstørketrommel']",komplett.no/img/p/800/1176937.jpg,komplett.no/product/1176937/hvitevarer/toerketromler/asko-toerketrommel-t208hw-hvit?productList=notSet&position=17,komplett,toerketromler
