,name,price_now,price_before,sale,stats,available,image,link,site
0,"Philips 70"" 4K UHD Ambilight TV 70PUS8546/12",9990,12990.0,True,"['4K', 'UHD', 'LED', '3-side', 'Ambilight', 'Android', 'TV', 'P5', 'Perfect', 'Picture', 'Engine']",20+ stk. paa lager.,komplett.no/img/p/800/1188686,komplett.no/product/1188686/tv-lyd-bilde/tv-video/tv-er/philips-70-4k-uhd-ambilight-tv-70pus854612?productList=notSet&position=1,komplett
1,"Samsung 55"" 4K Smart TV UE55AU8005 + Soundbar + veggfeste",8990,12879.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-A660/XE', 'og', 'Samsung', 'Slim', 'fit', 'veggfeste', 'WMN-A50EB/XC']",20+ stk. paa lager.,komplett.no/img/p/800/1203291,komplett.no/product/1203291/tv-lyd-bilde/tv-video/tv-er/samsung-55-4k-smart-tv-ue55au8005-soundbar-veggfeste?productList=notSet&position=2,komplett
2,"Philips 65"" 4K UHD Ambilight TV 65PUS8546 + Soundbar",17980,,,"['Android', 'TV', 'Inkl.', 'Philips', 'TAB8805/10', '3.1-ch', 'soundbar']",6 stk. paa lager.,komplett.no/img/p/800/1203068,komplett.no/product/1203068/tv-lyd-bilde/tv-video/tv-er/philips-65-4k-uhd-ambilight-tv-65pus8546-soundbar?productList=notSet&position=3,komplett
3,"Philips 55"" 4K OLED Ambilight 55OLED706 + Soundbar",18980,,,"['Android', 'OLED', 'Inkl.', 'Philips', 'TAB8805/10', '3.1-ch', 'soundbar']",20+ stk. paa lager.,komplett.no/img/p/800/1201487,komplett.no/product/1201487/tv-lyd-bilde/tv-video/tv-er/philips-55-4k-oled-ambilight-55oled706-soundbar?productList=notSet&position=4,komplett
4,"Samsung 65"" 4K Crystal Color TV UE65AU8005",8390,,,"['4K', 'HDR', 'Airslim', 'Motion', 'Xcelerator', 'Dynamic', 'Crystal', 'Color']",20+ stk. paa lager.,komplett.no/img/p/800/1183221,komplett.no/product/1183221/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-crystal-color-tv-ue65au8005?productList=notSet&position=5,komplett
5,"LG 65"" OLED 4K TV OLED65C1",14990,15990.0,True,"['Ultratynn', 'OLED', 'WebOS', '4K', '120', 'Hz', 'Gaming', 'TV']",20+ stk. paa lager.,komplett.no/img/p/800/1185785,komplett.no/product/1185785/tv-lyd-bilde/tv-video/tv-er/lg-65-oled-4k-tv-oled65c1?productList=notSet&position=6,komplett
6,"Samsung 50"" 4K QLED TV QE50Q80",9990,,,"['QLED', '120', 'Hz', 'Gaming', 'TV', 'med', 'Direct', 'Full', 'Array', 'som', 'sikrer', 'kvalitet', 'uansett', 'lys']",20+ stk. paa lager.,komplett.no/img/p/800/1183216,komplett.no/product/1183216/tv-lyd-bilde/tv-video/tv-er/samsung-50-4k-qled-tv-qe50q80?productList=notSet&position=7,komplett
7,"Philips 55"" 4K OLED Ambilight 55OLED936/12",32990,,,"['Android', 'TV', '4-sided', 'Ambilight', '4K', '120', 'Hz', 'Gaming', 'TV', 'Best', 'i', 'test']",5 stk. paa lager.,komplett.no/img/p/800/1202601,komplett.no/product/1202601/tv-lyd-bilde/tv-video/tv-er/philips-55-4k-oled-ambilight-55oled93612?productList=notSet&position=8,komplett
8,"Samsung 43"" 4K QLED TV QE43Q60",5499,,,"['QLED', '4K', 'Quantum', 'HDR', 'Airslim', 'Q-Symphony', 'Adaptive', 'Sound', 'Motion', 'Xcelerator']",13 stk. paa lager.,komplett.no/img/p/800/1183225,komplett.no/product/1183225/tv-lyd-bilde/tv-video/tv-er/samsung-43-4k-qled-tv-qe43q60?productList=notSet&position=9,komplett
9,"Samsung 65"" 8K Neo QLED TV QE65QN900",44990,,,"['8K', 'Quantum', 'Mini', 'LED', 'Infinity', 'screen', '8K', 'AI', 'Upscaling', '4K', '120', 'Hz', 'Gaming', 'TV']",5 stk. paa lager.,komplett.no/img/p/800/1183226,komplett.no/product/1183226/tv-lyd-bilde/tv-video/tv-er/samsung-65-8k-neo-qled-tv-qe65qn900?productList=notSet&position=10,komplett
10,"Samsung 85"" 4K QLED TV QE85Q70",22990,,,"['QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'Quantum', 'HDR', 'Airslim']",20+ stk. paa lager.,komplett.no/img/p/800/1183247,komplett.no/product/1183247/tv-lyd-bilde/tv-video/tv-er/samsung-85-4k-qled-tv-qe85q70?productList=notSet&position=11,komplett
11,"Samsung 85"" 4K QLED TV QE85Q60",18890,,,"['QLED', '4K', 'Quantum', 'HDR', 'Airslim', 'Q-Symphony', 'Adaptive', 'Sound', 'Motion', 'Xcelerator']",20+ stk. paa lager.,komplett.no/img/p/800/1183228,komplett.no/product/1183228/tv-lyd-bilde/tv-video/tv-er/samsung-85-4k-qled-tv-qe85q60?productList=notSet&position=12,komplett
12,"Samsung 65"" 4K Crystal UHD TV UE65TU6905",6990,,,"['Imponerende', 'skarphet', 'og', 'fargegjengivelse', 'gir', 'svært', 'realistisk', 'bildekvalitet']",20+ stk. paa lager.,komplett.no/img/p/800/1163997,komplett.no/product/1163997/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-crystal-uhd-tv-ue65tu6905?productList=notSet&position=13,komplett
13,"Finlux 24"" Smart TV med DVD-spiller",3674,,,"['12V', 'HD', '2xHDMI', 'USB', 'Rec.', 'VGA', 'WiFi', '10-153V', 'VESA', '75', 'x', '75mm']",4 stk. paa lager.,komplett.no/img/p/800/1118699,komplett.no/product/1118699/tv-lyd-bilde/tv-video/tv-er/finlux-24-smart-tv-med-dvd-spiller?productList=notSet&position=14,komplett
14,"Samsung 50"" 4K Crystal UHD TV UE50AU8005",5990,,,"['4K', 'HDR', 'Airslim', 'Motion', 'Xcelerator', 'Dynamic', 'Crystal', 'Color']",20+ stk. paa lager.,komplett.no/img/p/800/1183237,komplett.no/product/1183237/tv-lyd-bilde/tv-video/tv-er/samsung-50-4k-crystal-uhd-tv-ue50au8005?productList=notSet&position=15,komplett
15,"Samsung 65"" 4K Neo QLED TV QE65QN90",12990,21990.0,True,"['Neo', 'QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'med', 'Antirefleks', 'og', 'Quantum', 'Mini', 'LED']",20+ stk. paa lager.,komplett.no/img/p/800/1183239,komplett.no/product/1183239/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-neo-qled-tv-qe65qn90?productList=notSet&position=16,komplett
