,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Corsair iCUE H60i RGB PRO XT,1099.0,,,5,"['120mm', 'Radiator', '115x/2011-3/2066', 'AM2/AM3/AM4/sTR4', '2400RPM', '75', 'CFM']",komplett.no/img/p/800/1181034.jpg,komplett.no/product/1181034/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/corsair-icue-h60i-rgb-pro-xt?productList=notSet&position=1,komplett,vannkjoeling
1,Cooler Master ML240 Illusion White Edition,999.0,,,47,"['CPU', 'Kjøler', '277', 'x', '119.6', 'x', '27.2', 'mm', '650-1800', 'RPM', 'LGA2066', 'AM4']",komplett.no/img/p/800/1187709.jpg,komplett.no/product/1187709/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/cooler-master-ml240-illusion-white-edition?productList=notSet&position=2,komplett,vannkjoeling
2,NZXT Kraken X63 CPU Kjoler,1849.0,,,0,"['280mm', 'Radiator', '115x/1200/1366/2066', 'AM2/AM3/AM4', 'TR4']",komplett.no/img/p/800/1168958.jpg,komplett.no/product/1168958/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/nzxt-kraken-x63-cpu-kjoeler?productList=notSet&position=3,komplett,vannkjoeling
3,Cooler Master ML240 ILLUSION,799.0,999.0,True,27,"['CPU', 'Kjøler', '277', 'x', '119.6', 'x', '27.2', 'mm', '650-1800', 'RPM', 'LGA2066', 'AM4']",komplett.no/img/p/800/1187706.jpg,komplett.no/product/1187706/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/cooler-master-ml240-illusion?productList=notSet&position=4,komplett,vannkjoeling
4,Corsair iCUE H170i ELITE CAPELLIX CPU Kjoler,2349.0,,,0,"['3x140mm', 'x', '25mm', '2000', 'RPM', '115x/1200', '2011/2066', 'AM3/AM2', 'AM4', 'sTR4/sTRX4']",komplett.no/img/p/800/1190619.jpg,komplett.no/product/1190619/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/corsair-icue-h170i-elite-capellix-cpu-kjoeler?productList=notSet&position=5,komplett,vannkjoeling
5,NZXT Kraken X73 CPU Kjoler,2349.0,,,0,"['360mm', 'Radiator', '115x/1200/2066', 'AM2/AM3/AM4', 'TR4']",komplett.no/img/p/800/1168961.jpg,komplett.no/product/1168961/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/nzxt-kraken-x73-cpu-kjoeler?productList=notSet&position=6,komplett,vannkjoeling
6,Cooler Master MasterLiquid ML360 RGB TR4,1549.0,,,0,"['CPU', 'Kjøler', '394', 'x', '119', 'x', '27mm', 'Radiator650-2000', 'RPMAMD', 'Socket', 'TR4']",komplett.no/img/p/800/1097854.jpg,komplett.no/product/1097854/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/cooler-master-masterliquid-ml360-rgb-tr4?productList=notSet&position=7,komplett,vannkjoeling
7,"Cooler Master MasterLiquid ML360R RGB, inkl. Alderlake brackets",1590.0,,,50,"['inkl.', 'LGA1700', 'brackets']",komplett.no/img/p/800/1201508.jpg,komplett.no/product/1201508/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/cooler-master-masterliquid-ml360r-rgb-inkl-alderlake-brackets?productList=notSet&position=8,komplett,vannkjoeling
8,NZXT Kraken Z53 CPU Kjoler,2099.0,,,50,"['240mm', 'Radiator', '115x/1200/1366/2066', 'AM2/AM3/AM4', 'TR4']",komplett.no/img/p/800/1168959.jpg,komplett.no/product/1168959/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/cpu-vannkjoeling/nzxt-kraken-z53-cpu-kjoeler?productList=notSet&position=9,komplett,vannkjoeling
9,Phanteks SK 140 PWM Fan Black,179.0,,,2,"['140mm', '4', 'Pin', 'PWM', 'Fan', 'Black']",komplett.no/img/p/800/1167844.jpg,komplett.no/product/1167844/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/phanteks-sk-140-pwm-fan-black?productList=notSet&position=10,komplett,vannkjoeling
