,name,price_now,price_before,sale,available,stats,image,link,site,category
0,Miele WSD 323 NDS vaskemaskin (hvit),9990,12990.0,True,10,"['Vaskemaskin', 'med', '1400', 'o/min', '8', 'kg', 'kapasitet', 'og', 'energiklasse', 'A']",komplett.no/img/p/800/1151413.jpg,komplett.no/product/1151413/hvitevarer/vaskemaskiner/miele-wsd-323-nds-vaskemaskin-hvit?productList=notSet&position=1,komplett,vaskemaskiner
1,Bosch WAJ280L7SN vaskemaskin (hvit),4695,,,10,"['Serie', '2', '7kg', '1400']",komplett.no/img/p/800/1174062.jpg,komplett.no/product/1174062/hvitevarer/vaskemaskiner/bosch-waj280l7sn-vaskemaskin-hvit?productList=notSet&position=2,komplett,vaskemaskiner
2,Miele WSD 663 NDS ModernLife Vaskemaskin 8Kg (lotus hvit),13499,,,5,"['1400', 'o/min', '8kg', 'CapDosing', 'TwinDos', 'Miele@home']",komplett.no/img/p/800/1200338.jpg,komplett.no/product/1200338/hvitevarer/vaskemaskiner/miele-wsd-663-nds-modernlife-vaskemaskin-8kg-lotus-hvit?productList=notSet&position=3,komplett,vaskemaskiner
3,LG pakketilbud Vaskemaskin og Torketrommel,15790,,,1,"['Vask:', '105kg', '1400', 'o/min', 'Steam.', 'Tørk:', '8kg', 'Varmepumpe', 'Auto', 'tørketid', 'Wifi']",komplett.no/img/p/800/1181268.jpg,komplett.no/product/1181268/hvitevarer/vaskemaskiner/lg-pakketilbud-vaskemaskin-og-toerketrommel?productList=notSet&position=4,komplett,vaskemaskiner
4,Bosch WAU28US8SN Vaskemaskin (hvit),8999,,,10,"['Serie', '6', '8kg', '1400', 'o/min', '10', 'års', 'motorgaranti', 'EcoSilence', 'Speedperfect']",komplett.no/img/p/800/1182325.jpg,komplett.no/product/1182325/hvitevarer/vaskemaskiner/bosch-wau28us8sn-vaskemaskin-hvit?productList=notSet&position=5,komplett,vaskemaskiner
5,LG pakketilbud Vaskemaskin og Torketrommel,14790,,,0,"['Vask:', '9kg', '1400', 'o/min', 'AI', 'DD.', 'Tørk:', '8kg', 'Wifi', 'Varmepumpe.', 'Inkl.', 'Stacking', 'kit']",komplett.no/img/p/800/1181270.jpg,komplett.no/product/1181270/hvitevarer/vaskemaskiner/lg-pakketilbud-vaskemaskin-og-toerketrommel?productList=notSet&position=6,komplett,vaskemaskiner
6,Beko WTV9726XW Vaskemaskin (hvit),6999,,,0,"['9Kg', '1400rpm', 'SteamCure™', 'StainExpert™-program']",komplett.no/img/p/800/1202576.jpg,komplett.no/product/1202576/hvitevarer/vaskemaskiner/beko-wtv9726xw-vaskemaskin-hvit?productList=notSet&position=7,komplett,vaskemaskiner
7,LG K4WV710N1W Vaskemaskin (hvit),7490,,,10,"['105kg', '1400', 'o/min', 'TurboWash', '-', '59', 'min', 'Wifi']",komplett.no/img/p/800/1164018.jpg,komplett.no/product/1164018/hvitevarer/vaskemaskiner/lg-k4wv710n1w-vaskemaskin-hvit?productList=notSet&position=8,komplett,vaskemaskiner
8,LG K4WV712N1W vaskemaskin (hvit),10762,,,10,"['12KG', '1400', 'o/min', 'TurboWash', '59', 'min', 'AI', 'DD', 'Wifi']",komplett.no/img/p/800/1164020.jpg,komplett.no/product/1164020/hvitevarer/vaskemaskiner/lg-k4wv712n1w-vaskemaskin-hvit?productList=notSet&position=9,komplett,vaskemaskiner
9,Bosch WAU28TS9SN Vaskemaskin (hvit),9490,,,10,"['Serie', '6', '9kg', '1400', 'o/min', '10', 'års', 'motorgaranti', 'EcoSilence', 'VarioDrum']",komplett.no/img/p/800/1182323.jpg,komplett.no/product/1182323/hvitevarer/vaskemaskiner/bosch-wau28ts9sn-vaskemaskin-hvit?productList=notSet&position=10,komplett,vaskemaskiner
